#Annotated with Bakta v1.11.3, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_135	93	314	-	MDNEJI_00240	8.0	6.5		
contig_136	3	278	-	MDNEJI_00241	10.3	6.4	PF00117.34|GATase	PFAM:PF00117.34
contig_151	34	201	-	MDNEJI_00242	6.0	6.1		
contig_155	102	314	-	MDNEJI_00243	8.1	9.8		
contig_164	38	307	+	MDNEJI_00244	10.1	11.1		
contig_192	57	323	+	MDNEJI_00245	9.3	4.3	PF01053.26|Cys_Met_Meta_PP	PFAM:PF01053.26
contig_222	759	1691	+	MDNEJI_00247	33.5	5.3		
contig_222	44021	44785	-	MDNEJI_00287	25.4	9.2		
contig_222	51505	52086	-	MDNEJI_00296	21.7	7.1	PF00561.26|Abhydrolase_1, PF06821.19|Ser_hydrolase, PF12697.13|Abhydrolase_6	PFAM:PF00561.26, PFAM:PF06821.19, PFAM:PF12697.13
contig_222	52302	52514	+	MDNEJI_00297	7.8	4.9		
contig_222	98031	98216	-	MDNEJI_00337	6.5	4.6		
contig_222	121281	122354	+	MDNEJI_00357	40.8	9.4	PF03976.20|PPK2	PFAM:PF03976.20
contig_222	128549	129433	-	MDNEJI_00363	33.0	11.4		
contig_222	148614	149687	-	MDNEJI_00386	38.2	10.5		
contig_222	205858	206841	+	MDNEJI_00435	35.5	8.8		
contig_244	238	492	+	MDNEJI_00459	9.4	10.5		
contig_256	13	210	-	MDNEJI_00460	7.6	11.6		
contig_269	57	305	-	MDNEJI_00461	8.9	6.9	PF01890.21|CbiG_C	PFAM:PF01890.21
contig_303	110	283	-	MDNEJI_00462	6.4	8.4		
contig_310	140	298	-	MDNEJI_00463	5.7	6.5		
contig_323	183	317	-	MDNEJI_00465	5.1	9.7		
contig_333	11386	12339	+	MDNEJI_00476	35.0	9.0	PF16220.10|DUF4880	PFAM:PF16220.10
contig_333	26621	27049	+	MDNEJI_00488	14.7	5.9	PF00266.25|Aminotran_5	PFAM:PF00266.25
contig_333	32190	32858	-	MDNEJI_00493	24.1	6.4	PF00702.32|Hydrolase, PF13242.12|Hydrolase_like	PFAM:PF00702.32, PFAM:PF13242.12
contig_333	46009	46218	-	MDNEJI_00500	7.8	4.7		SO:0001217, UniRef:UniRef50_A0A2R3ITA3
contig_333	68573	69082	+	MDNEJI_00518	19.3	5.8	PF04542.20|Sigma70_r2, PF04545.22|Sigma70_r4, PF08281.18|Sigma70_r4_2	PFAM:PF04542.20, PFAM:PF04545.22, PFAM:PF08281.18
contig_333	75774	76172	-	MDNEJI_00525	14.2	4.9	PF03860.21|DUF326	PFAM:PF03860.21
contig_333	90215	91120	-	MDNEJI_00540	33.5	9.4	PF00126.33|HTH_1	PFAM:PF00126.33
contig_333	97661	98887	-	MDNEJI_00546	47.6	9.6		
contig_333	105786	106643	+	MDNEJI_00552	31.9	9.5	PF00563.25|EAL	PFAM:PF00563.25
contig_333	109927	110316	+	MDNEJI_00557	14.0	4.6		
contig_333	113167	113406	+	MDNEJI_00560	8.2	4.3	PF02069.22|Metallothio_Pro	PFAM:PF02069.22
contig_333	114841	115029	-	MDNEJI_00563	6.9	9.3		SO:0001217, UniRef:UniRef50_A6V642
contig_333	115272	115559	+	MDNEJI_00564	10.8	6.5		
contig_333	118057	118455	-	MDNEJI_00566	15.1	5.0		SO:0001217, UniRef:UniRef50_Q9I1X0
contig_333	118541	118705	-	MDNEJI_00567	6.1	4.1		SO:0001217, UniRef:UniRef50_A6V637
contig_333	118954	119121	+	MDNEJI_00568	5.6	10.1		
contig_333	121428	121562	+	MDNEJI_00570	5.1	8.7		
contig_333	122064	122306	+	MDNEJI_00572	8.8	5.1		SO:0001217, UniRef:UniRef50_Q9I1W6
contig_333	150847	151317	+	MDNEJI_00593	18.0	6.0	PF01814.28|Hemerythrin	PFAM:PF01814.28
contig_333	152424	152774	+	MDNEJI_00595	12.5	7.9		
contig_333	153065	153328	-	MDNEJI_00597	9.9	4.8		
contig_333	157562	157792	+	MDNEJI_00602	9.0	5.0		SO:0001217, UniRef:UniRef50_A0A2R3J3L5
contig_333	162753	163112	-	MDNEJI_00608	13.6	6.1		
contig_333	163142	163888	-	MDNEJI_00609	27.0	9.6		
contig_333	164490	164756	-	MDNEJI_00611	10.1	11.3	PF00128.31|Alpha-amylase	PFAM:PF00128.31
contig_333	205006	205158	-	MDNEJI_00648	5.6	11.4		
contig_344	204	443	+	MDNEJI_00664	8.7	11.9		
contig_353	77	295	-	MDNEJI_00665	8.4	9.2		
contig_360	46	285	-	MDNEJI_00666	8.8	6.3		
contig_364	1	246	+	MDNEJI_00667	8.5	6.5		
contig_366	18	191	-	MDNEJI_00668	5.6	10.9		
contig_378	47	298	-	MDNEJI_00669	9.0	11.9		
contig_380	15	278	+	MDNEJI_00670	10.3	5.3	PF07702.18|UTRA	PFAM:PF07702.18
contig_414	11	265	+	MDNEJI_00671	9.6	5.0		
contig_420	7	255	+	MDNEJI_00672	8.8	5.2		
contig_432	283	588	-	MDNEJI_00673	10.9	9.4		
contig_434	35	295	-	MDNEJI_00674	9.6	4.1	PF02768.20|DNA_pol3_beta_3	PFAM:PF02768.20
contig_444	14633	15316	-	MDNEJI_00680	24.8	5.4	PF21948.1|LplA-B_cat	PFAM:PF21948.1
contig_444	48312	48524	-	MDNEJI_00708	7.5	4.3		
contig_444	90595	90837	-	MDNEJI_00752	8.5	8.5	PF09012.16|FeoC	PFAM:PF09012.16
contig_444	94726	94989	+	MDNEJI_00756	9.5	10.0		SO:0001217, UniRef:UniRef50_A0A024HCQ2
contig_444	119656	119985	-	MDNEJI_00779	12.2	5.2	PF02641.20|DUF190	PFAM:PF02641.20
contig_444	120618	121304	+	MDNEJI_00781	25.9	7.0	PF08857.17|ParBc_2	PFAM:PF08857.17
contig_444	126862	127830	-	MDNEJI_00788	37.1	5.2		
contig_444	127862	128245	+	MDNEJI_00789	13.9	10.8	PF01035.26|DNA_binding_1	PFAM:PF01035.26
contig_444	161455	161859	-	MDNEJI_00818	15.3	4.8		
contig_444	165533	165778	+	MDNEJI_00822	9.4	8.0		
contig_444	167032	167439	-	MDNEJI_00825	14.5	4.6		
contig_444	194975	195067	-	MDNEJI_00855	3.4	4.1		
contig_444	203421	203657	-	MDNEJI_00867	8.7	7.9		
contig_444	207117	207317	+	MDNEJI_00870	8.2	9.4		
contig_444	207289	207690	+	MDNEJI_00871	14.9	7.9		SO:0001217, UniRef:UniRef50_A6UZ71
contig_444	207706	208062	+	MDNEJI_00872	13.0	7.9	PF24720.1|DUF7673	PFAM:PF24720.1, SO:0001217, UniRef:UniRef50_A6UZ70
contig_444	208130	208543	+	MDNEJI_00873	15.2	8.6		SO:0001217, UniRef:UniRef50_A0A2R3IU77
contig_444	208742	208972	+	MDNEJI_00875	8.6	9.1		SO:0001217, UniRef:UniRef50_A0A2R3IS69
contig_444	208969	209250	+	MDNEJI_00876	10.2	4.7		SO:0001217, UniRef:UniRef50_A6UZ67
contig_444	209609	209818	+	MDNEJI_00877	7.8	4.9		SO:0001217, UniRef:UniRef50_A6UZ66
contig_444	210100	210807	-	MDNEJI_00879	26.7	4.7		
contig_455	177	341	+	MDNEJI_00884	5.3	4.5		
contig_460	142	300	+	MDNEJI_00885	5.7	9.3		
contig_466	132	497	+	MDNEJI_00887	13.7	5.3	PF00391.29|PEP-utilizers	PFAM:PF00391.29
contig_477	115	348	+	MDNEJI_00888	8.7	5.7		
contig_490	47	232	+	MDNEJI_00889	6.8	4.5		
contig_499	17	472	+	MDNEJI_00890	15.5	6.7		
contig_504	92	232	+	MDNEJI_00891	5.1	4.2		
contig_515	57	149	-	MDNEJI_00892	3.3	10.8		
contig_525	10	267	-	MDNEJI_00893	9.1	6.0		
contig_529	1	222	+	MDNEJI_00894	8.1	9.2		
contig_536	21	197	+	MDNEJI_00895	6.5	8.2	PF13977.11|TetR_C_6	PFAM:PF13977.11
contig_547	11	175	+	MDNEJI_00897	6.1	5.7		
contig_548	37	255	-	MDNEJI_00898	7.7	4.5		
contig_554	51	398	+	MDNEJI_00899	12.9	10.1	PF23771.1|DUF7168	PFAM:PF23771.1
contig_555	508	1524	+	MDNEJI_00900	38.1	6.5		SO:0001217, UniRef:UniRef50_A0A0Q0BIK1
contig_555	1521	1883	-	MDNEJI_00901	13.3	4.2		SO:0001217, UniRef:UniRef50_A0AAQ3LLT5
contig_555	9846	10805	+	MDNEJI_00907	33.6	7.0		
contig_555	66773	67066	+	MDNEJI_00962	10.4	8.4	PF13442.11|Cytochrome_CBB3	PFAM:PF13442.11
contig_555	76582	76743	+	MDNEJI_00971	5.6	12.0		
contig_555	97929	98141	-	MDNEJI_00992	7.9	10.0	PF06568.16|DUF1127	PFAM:PF06568.16
contig_555	128390	128605	+	MDNEJI_01016	8.4	10.0		
contig_555	164111	164221	+	MDNEJI_01045	4.3	10.0		
contig_555	164903	165079	+	MDNEJI_01047	6.9	7.8		
contig_555	189387	189635	+	MDNEJI_01074	9.1	5.2		
contig_557	130	294	-	MDNEJI_01086	6.6	8.8		
contig_594	87	254	+	MDNEJI_01090	6.4	10.2		
contig_596	83	172	+	MDNEJI_01091	3.4	9.5		
contig_598	18	275	+	MDNEJI_01092	9.5	5.5	PF13098.12|Thioredoxin_2	PFAM:PF13098.12
contig_599	147	449	+	MDNEJI_01093	11.2	10.6		
contig_618	18	278	+	MDNEJI_01094	9.9	6.5	PF00596.26|Aldolase_II	PFAM:PF00596.26
contig_620	25	222	+	MDNEJI_01095	7.4	6.0		
contig_626	73	261	+	MDNEJI_01096	6.9	4.9		
contig_655	68	172	-	MDNEJI_01097	3.9	4.1		
contig_665	52	489	+	MDNEJI_01098	16.5	10.1		
contig_666	75645	75746	-	MDNEJI_01181	3.8	11.7		
contig_666	84255	84494	-	MDNEJI_01189	8.6	11.2		
contig_666	102192	102953	+	MDNEJI_01208	28.8	5.8		
contig_666	117765	118262	+	MDNEJI_01222	19.7	8.4	PF04542.20|Sigma70_r2, PF04545.22|Sigma70_r4, PF08281.18|Sigma70_r4_2	PFAM:PF04542.20, PFAM:PF04545.22, PFAM:PF08281.18
contig_666	146354	146809	-	MDNEJI_01248	17.6	9.0		SO:0001217, UniRef:UniRef50_A0A1H1QL29
contig_666	146790	146984	-	MDNEJI_01249	7.7	5.2		
contig_666	147573	148229	-	MDNEJI_01251	24.9	4.6		
contig_666	148422	148703	-	MDNEJI_01252	10.7	5.1		SO:0001217, UniRef:UniRef50_UPI0007A7E5DF
contig_666	149458	149754	-	MDNEJI_01254	10.9	5.0		
contig_666	149747	150190	-	MDNEJI_01255	15.9	5.2		
contig_666	150183	150632	-	MDNEJI_01256	16.6	5.3		
contig_666	150632	151774	-	MDNEJI_01257	41.3	4.8		
contig_666	151771	151995	-	MDNEJI_01258	8.2	6.5		SO:0001217, UniRef:UniRef50_A0A0S2SYB6
contig_666	151992	152177	-	MDNEJI_01259	7.1	5.8		SO:0001217, UniRef:UniRef50_A0A0S2SYC2
contig_666	153886	154632	-	MDNEJI_01263	28.1	5.1		
contig_666	155747	156052	-	MDNEJI_01265	11.4	5.8		SO:0001217, UniRef:UniRef50_A0A328TU40
contig_666	156203	156340	-	MDNEJI_01266	4.8	10.7		
contig_666	157365	157478	-	MDNEJI_01268	3.9	5.8		
contig_666	157475	157909	-	MDNEJI_01269	16.4	4.8		
contig_666	159298	159663	-	MDNEJI_01271	14.1	4.6		SO:0001217, UniRef:UniRef50_B5WZX0
contig_666	159660	159884	-	MDNEJI_01272	8.6	6.2		SO:0001217, UniRef:UniRef50_A0A485DBS0
contig_666	160102	160341	-	MDNEJI_01273	8.9	4.7		SO:0001217, UniRef:UniRef50_A0A1B8V9K0
contig_666	160714	160854	-	MDNEJI_01274	5.4	9.3		
contig_666	161002	161493	-	MDNEJI_01275	17.6	4.6		
contig_666	161456	161566	-	MDNEJI_01276	4.2	6.1		
contig_666	161714	162631	-	MDNEJI_01277	31.8	4.9	PF24703.2|DUF7666	PFAM:PF24703.2, SO:0001217, UniRef:UniRef50_UPI00345A743F
contig_666	162930	163136	-	MDNEJI_01279	7.6	6.2		SO:0001217, UniRef:UniRef50_A0A1G8LG66
contig_666	163146	163352	-	MDNEJI_01280	7.8	6.6		SO:0001217, UniRef:UniRef50_A0A7M2ZMR3
contig_666	166985	167329	+	MDNEJI_01286	12.8	5.0		SO:0001217, UniRef:UniRef50_A0A241XFG7
contig_666	167262	167522	-	MDNEJI_01287	9.5	4.9		SO:0001217, UniRef:UniRef50_A0A6S5TY50
contig_666	168327	168533	+	MDNEJI_01289	7.5	4.6		SO:0001217, UniRef:UniRef50_A0A2R3IMJ1
contig_666	168523	169422	+	MDNEJI_01290	33.5	6.1		
contig_666	171245	171367	+	MDNEJI_01292	4.7	6.1		
contig_666	171391	171873	+	MDNEJI_01293	18.0	6.9		
contig_666	172272	172523	+	MDNEJI_01296	9.5	9.8		
contig_666	173100	173369	+	MDNEJI_01298	9.9	5.5		SO:0001217, UniRef:UniRef50_B5WZY5
contig_666	175204	175302	+	MDNEJI_01303	3.2	5.8		
contig_666	176504	176737	+	MDNEJI_01307	8.4	7.8		SO:0001217, UniRef:UniRef50_A0A0S2SYD7
contig_666	176737	176862	+	MDNEJI_01308	4.6	10.0		
contig_666	176855	177016	+	MDNEJI_01309	6.0	4.1		SO:0001217, UniRef:UniRef50_Q9MC39
contig_666	177264	177524	+	MDNEJI_01311	9.1	8.2		
contig_666	180114	180278	+	MDNEJI_01314	5.6	8.3		SO:0001217, UniRef:UniRef50_Q9MCB1
contig_666	180592	181533	+	MDNEJI_01315	34.8	6.8		
contig_666	188353	188619	+	MDNEJI_01322	9.8	7.8		
contig_666	193293	193526	+	MDNEJI_01325	8.6	4.6		
contig_666	193523	193765	-	MDNEJI_01326	8.4	6.2		SO:0001217, UniRef:UniRef50_A0A0S2SY68
contig_667	9	200	+	MDNEJI_01331	7.8	5.9		
contig_672	11	214	+	MDNEJI_01332	7.3	5.7		
contig_673	5	178	+	MDNEJI_01333	6.8	5.0		
contig_710	117	401	-	MDNEJI_01334	10.5	9.7	PF17948.6|DnaT	PFAM:PF17948.6
contig_729	32	142	-	MDNEJI_01335	3.8	10.0		
contig_732	244	519	-	MDNEJI_01336	10.1	5.3		
contig_743	331	558	-	MDNEJI_01337	8.5	10.3		
contig_750	46	240	+	MDNEJI_01338	6.9	4.7	PF00793.26|DAHP_synth_1	PFAM:PF00793.26
contig_752	56	262	+	MDNEJI_01339	7.6	6.6	PF01458.23|SUFBD_core	PFAM:PF01458.23
contig_777	39903	40112	-	MDNEJI_01377	7.6	4.3		
contig_777	89980	90216	-	MDNEJI_01423	7.8	4.6		
contig_777	101845	102669	-	MDNEJI_01435	31.6	8.8		SO:0001217, UniRef:UniRef50_A0A0D6SVW2
contig_777	131097	131186	+	MDNEJI_01463	3.2	5.7		
contig_777	145623	146030	-	MDNEJI_01477	15.1	8.6	PF16985.10|DUF5086	PFAM:PF16985.10
contig_777	157987	158421	-	MDNEJI_01488	16.6	8.5		SO:0001217, UniRef:UniRef50_A0A1Q8EXD9
contig_777	158691	159671	-	MDNEJI_01489	37.3	6.2	PF03527.20|RHS, PF05593.20|RHS_repeat	PFAM:PF03527.20, PFAM:PF05593.20
contig_799	23	526	-	MDNEJI_01493	18.1	8.9		
contig_802	22	156	-	MDNEJI_01494	5.0	4.1		
contig_805	31	261	-	MDNEJI_01495	8.4	4.2		
contig_810	55	249	-	MDNEJI_01496	6.6	10.9		
contig_811	102	266	-	MDNEJI_01497	6.4	4.1		
contig_818	146	265	-	MDNEJI_01498	4.4	6.0		
contig_821	201	410	-	MDNEJI_01499	8.1	10.2	PF02300.22|Fumarate_red_C	PFAM:PF02300.22
contig_832	7	378	+	MDNEJI_01500	14.1	10.1		
contig_849	14	208	+	MDNEJI_01501	7.4	8.1		
contig_854	266	493	-	MDNEJI_01502	8.1	5.7	PF05199.19|GMC_oxred_C	PFAM:PF05199.19
contig_884	170	472	-	MDNEJI_01503	11.4	10.4		
contig_885	65141	65485	+	MDNEJI_01567	11.5	9.5		
contig_885	89546	90424	+	MDNEJI_01586	33.6	8.8		
contig_885	95272	95526	-	MDNEJI_01591	9.3	9.6		
contig_885	104756	105256	+	MDNEJI_01600	18.9	11.2		
contig_885	114350	115294	+	MDNEJI_01612	35.7	9.7		
contig_885	115302	116429	+	MDNEJI_01613	41.1	5.9	PF09983.15|JetD_C	PFAM:PF09983.15
contig_885	118337	119803	+	MDNEJI_01615	55.4	5.4	PF02310.24|B12-binding, PF04055.27|Radical_SAM	PFAM:PF02310.24, PFAM:PF04055.27, SO:0001217, UniRef:UniRef50_U2Z8C1
contig_885	125289	125771	-	MDNEJI_01620	17.7	5.4		SO:0001217, UniRef:UniRef50_A0A7W4D9U2
contig_885	127014	127406	-	MDNEJI_01622	14.5	6.8		
contig_885	127581	127742	+	MDNEJI_01623	6.2	8.4		
contig_885	127739	127939	-	MDNEJI_01624	6.8	5.4		SO:0001217, UniRef:UniRef50_U3G6E5
contig_885	130873	131553	+	MDNEJI_01627	24.2	5.3	PF00881.29|Nitroreductase	PFAM:PF00881.29
contig_885	133114	133470	-	MDNEJI_01630	12.9	5.3		
contig_885	137949	138182	-	MDNEJI_01633	8.1	8.0	PF13541.12|ChlI	PFAM:PF13541.12
contig_890	1	378	+	MDNEJI_01657	14.3	6.6	PF04909.20|Amidohydro_2	PFAM:PF04909.20
contig_895	38	469	+	MDNEJI_01659	15.1	9.9		
contig_896	4974	5780	-	MDNEJI_01664	30.5	5.6	PF08241.18|Methyltransf_11	PFAM:PF08241.18
contig_896	12728	13120	+	MDNEJI_01673	14.5	6.5		SO:0001217, UniRef:UniRef50_Q9I288
contig_896	18836	19060	+	MDNEJI_01679	8.2	4.8	PF11462.14|DUF3203	PFAM:PF11462.14
contig_896	24206	24424	+	MDNEJI_01683	7.6	8.8		
contig_896	55478	57304	-	MDNEJI_01711	67.1	8.6	PF00326.27|Peptidase_S9, PF01738.24|DLH, PF07859.19|Abhydrolase_3, PF12146.15|Hydrolase_4, PF20434.5|BD-FAE	PFAM:PF00326.27, PFAM:PF01738.24, PFAM:PF07859.19, PFAM:PF12146.15, PFAM:PF20434.5
contig_896	60430	60555	-	MDNEJI_01716	4.9	9.3		
contig_896	65141	65788	+	MDNEJI_01720	22.9	5.7	PF00805.28|Pentapeptide, PF13576.12|Pentapeptide_3, PF13599.12|Pentapeptide_4	PFAM:PF00805.28, PFAM:PF13576.12, PFAM:PF13599.12
contig_896	66505	67155	-	MDNEJI_01722	23.8	9.4	PF02518.31|HATPase_c, PF07730.19|HisKA_3	PFAM:PF02518.31, PFAM:PF07730.19
contig_896	67164	67304	-	MDNEJI_01723	5.0	8.9		
contig_896	82013	82513	+	MDNEJI_01735	18.1	5.1		SO:0001217, UniRef:UniRef50_A0AAQ3LLI9
contig_896	89899	90426	+	MDNEJI_01745	20.1	8.5	PF13521.12|AAA_28	PFAM:PF13521.12
contig_896	105981	106115	+	MDNEJI_01760	4.9	10.4		
contig_896	108500	109639	+	MDNEJI_01762	42.7	8.7	PF00199.24|Catalase	PFAM:PF00199.24
contig_896	113036	114115	+	MDNEJI_01765	40.7	5.8		SO:0001217, UniRef:UniRef50_A0AAQ3LFA2
contig_896	121187	121483	+	MDNEJI_01771	10.7	4.5	PF24693.1|DUF7660	PFAM:PF24693.1
contig_896	136756	136902	+	MDNEJI_01781	5.8	11.2		
contig_896	142942	144168	+	MDNEJI_01787	46.1	6.5		
contig_896	144275	144955	+	MDNEJI_01788	25.4	7.9		SO:0001217, UniRef:UniRef50_Q9I2J1
contig_896	150312	150500	+	MDNEJI_01793	7.2	11.9		
contig_896	154746	155291	-	MDNEJI_01798	19.4	7.1		
contig_897	280	468	+	MDNEJI_01799	6.4	9.2		
contig_898	32	433	+	MDNEJI_01800	14.8	5.5	PF20258.4|tRNA_Me_trans_C, PF20259.3|tRNA_Me_trans_M	PFAM:PF20258.4, PFAM:PF20259.3
contig_899	139	507	-	MDNEJI_01801	13.8	7.0	PF02785.25|Biotin_carb_C	PFAM:PF02785.25
contig_902	39	491	-	MDNEJI_01802	17.3	11.1		
contig_907	112	753	-	MDNEJI_01804	23.8	5.7		
contig_907	4564	4905	+	MDNEJI_01808	12.4	7.7	PF24876.1|PA4575	PFAM:PF24876.1, SO:0001217, UniRef:UniRef50_M4WVQ6
contig_907	129405	129854	+	MDNEJI_01919	17.1	6.4		
contig_907	131972	132154	+	MDNEJI_01922	6.7	9.8		
contig_907	132629	133600	-	MDNEJI_01924	34.7	5.0		
contig_907	136460	138424	-	MDNEJI_01929	69.7	6.1	PF07484.17|Collar, PF12571.13|Phage_tail_fib	PFAM:PF07484.17, PFAM:PF12571.13
contig_907	140439	142493	-	MDNEJI_01933	72.1	5.3		
contig_907	144201	144410	-	MDNEJI_01939	7.7	8.4	PF01258.23|zf-dskA_traR	PFAM:PF01258.23
contig_907	147087	147584	-	MDNEJI_01944	18.8	9.1		
contig_908	12798	13145	+	MDNEJI_01956	12.9	5.1	PF00805.28|Pentapeptide	PFAM:PF00805.28
contig_908	48577	48873	+	MDNEJI_01993	11.1	10.2	PF05359.17|DUF748	PFAM:PF05359.17
contig_908	49098	50888	+	MDNEJI_01994	65.3	5.3	PF05359.17|DUF748	PFAM:PF05359.17
contig_908	92139	92999	+	MDNEJI_02036	32.4	5.2		
contig_908	99417	99662	-	MDNEJI_02044	8.7	9.0		SO:0001217, UniRef:UniRef50_Q9HV26
contig_908	107034	107783	+	MDNEJI_02052	28.3	7.8	PF05175.20|MTS, PF08241.18|Methyltransf_11, PF08242.18|Methyltransf_12, PF13489.12|Methyltransf_23, PF13649.12|Methyltransf_25, PF13847.12|Methyltransf_31	PFAM:PF05175.20, PFAM:PF08241.18, PFAM:PF08242.18, PFAM:PF13489.12, PFAM:PF13649.12, PFAM:PF13847.12
contig_908	113937	114377	-	MDNEJI_02062	15.4	4.1		
contig_908	141847	142056	-	MDNEJI_02086	7.4	10.9		
contig_908	145919	146137	-	MDNEJI_02089	7.8	10.6		SO:0001217, UniRef:UniRef50_Q9HUY4
contig_908	146284	146418	-	MDNEJI_02090	5.2	6.2		
contig_908	163348	163479	+	MDNEJI_02107	4.8	10.0		
contig_908	189889	190341	+	MDNEJI_02128	16.9	6.1	PF13508.13|Acetyltransf_7, PF13673.13|Acetyltransf_10	PFAM:PF13508.13, PFAM:PF13673.13
contig_908	196717	197463	+	MDNEJI_02138	27.0	4.9		SO:0001217, UniRef:UniRef50_A0A6A9K4T9
contig_908	199981	200397	-	MDNEJI_02141	14.4	9.6	PF07769.19|PsiF_repeat	PFAM:PF07769.19
contig_908	206110	206451	+	MDNEJI_02148	12.4	6.1		
contig_908	261853	263067	+	MDNEJI_02197	45.9	7.1	PF00232.24|Glyco_hydro_1	PFAM:PF00232.24
contig_908	267408	267827	-	MDNEJI_02203	16.2	4.9	PF01250.22|Ribosomal_S6	PFAM:PF01250.22
contig_908	387698	388513	+	MDNEJI_02298	29.8	6.3	PF00582.32|Usp	PFAM:PF00582.32
contig_908	394006	394986	+	MDNEJI_02304	34.2	5.4		SO:0001217, UniRef:UniRef50_Q9HUD6
contig_908	430881	431783	-	MDNEJI_02333	29.7	10.3		
contig_908	436910	437323	+	MDNEJI_02342	14.6	5.7		
contig_908	498118	498522	+	MDNEJI_02393	15.6	8.6		
contig_908	505841	506191	-	MDNEJI_02401	12.9	10.3		
