Product_normalized	OriginalProducts	Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	DbXrefs
2,3-dehydroadipyl-coa hydratase	2,3-dehydroadipyl-CoA hydratase	contig_1019;contig_444;contig_919	cds	370994;37336;64367	371848;38133;65140	+;-	MDNEJI_00725;MDNEJI_02549;MDNEJI_03789		SO:0001217, UniRef:UniRef50_A0A119A310;SO:0001217, UniRef:UniRef50_A0A5B7ULI3;SO:0001217, UniRef:UniRef50_A0A5E6TY10
2,4-dienoyl-coa reductase, nadh and fmn-linked	2,4-dienoyl-CoA reductase, NADH and FMN-linked	contig_1019	cds	93805	95844	+	MDNEJI_03530		SO:0001217, UniRef:UniRef50_H3RAB2
2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase	2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase	contig_1130	cds	92917	93723	-	MDNEJI_04245		SO:0001217, UniRef:UniRef50_E8U8Z4
2,5-didehydrogluconate reductase dkgb	2,5-didehydrogluconate reductase DkgB	contig_1130	cds	47203	48021	+	MDNEJI_04207	dkgB	SO:0001217, UniRef:UniRef50_A0A854CNT9
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	contig_1463;contig_908	cds	40730;66200	41218;66742	+;-	MDNEJI_01986;MDNEJI_05687		SO:0001217, UniRef:UniRef50_A0AA41WJZ7;SO:0001217, UniRef:UniRef50_Q9HV71
2-aminobenzoylacetyl-coa thioesterase pqse	2-aminobenzoylacetyl-CoA thioesterase PqsE	contig_1352	cds	167114	168019	-	MDNEJI_05346	pqsE	BlastRules:WP_003086247, EC:3.1.2.32
2-aminoethylphosphonate--pyruvate transaminase	2-aminoethylphosphonate--pyruvate transaminase	contig_963	cds	58650	59765	-	MDNEJI_03060		SO:0001217, UniRef:UniRef50_Q9I434
2-c-methyl-d-erythritol 2,4-cyclodiphosphate synthase	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	contig_1241	cds	266126	266599	-	MDNEJI_04971		SO:0001217, UniRef:UniRef50_Q5NFU1
2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	contig_1241	cds	271304	272008	-	MDNEJI_04977		SO:0001217, UniRef:UniRef50_P57707
2-chlorobenzoate 1,2-dioxygenase, alpha subunit	2-chlorobenzoate 1,2-dioxygenase, alpha subunit	contig_1574	cds	267358	268725	+	MDNEJI_06268		SO:0001217, UniRef:UniRef50_A0A377X2A4
2-dehydro-3-deoxy-d-gluconate 5-dehydrogenase	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase	contig_333	cds	200393	201160	+	MDNEJI_00644		SO:0001217, UniRef:UniRef50_A0A0F7Y8X3
2-dehydro-3-deoxy-phosphogluconate aldolase	2-dehydro-3-deoxy-phosphogluconate aldolase	contig_1019	cds	4438;53572	5100;54219	+	MDNEJI_03442;MDNEJI_03488		SO:0001217, UniRef:UniRef50_A0A653V8Y7;SO:0001217, UniRef:UniRef50_P00885
2-dehydro-3-deoxygluconokinase	2-dehydro-3-deoxygluconokinase	contig_985	cds	30700	31650	-	MDNEJI_03217		SO:0001217, UniRef:UniRef50_A0AAE6V308
2-dehydro-3-deoxyphosphooctonate aldolase	2-dehydro-3-deoxyphosphooctonate aldolase	contig_1241	cds	273712	274557	-	MDNEJI_04980		SO:0001217, UniRef:UniRef50_C5B817
2-dehydropantoate 2-reductase	2-dehydropantoate 2-reductase	contig_444;contig_666	cds	132917;89707	133828;90654	+	MDNEJI_00794;MDNEJI_01198		SO:0001217, UniRef:UniRef50_A0A653MYX2;SO:0001217, UniRef:UniRef50_Q883S4
2-deoxy-d-gluconate 3-dehydrogenase	2-deoxy-D-gluconate 3-dehydrogenase	contig_1130	cds	124007	124732	-	MDNEJI_04271		SO:0001217, UniRef:UniRef50_A0A0H3KSJ9
2-heptyl-3-hydroxy-4(1h)-quinolone synthase	2-heptyl-3-hydroxy-4(1H)-quinolone synthase	contig_1574	cds	173755	174903	+	MDNEJI_06190	pqsH	BlastRules:WP_003119987, EC:1.14.13.182, SO:0001217, UniRef:UniRef50_Q02N79
2-heptyl-4(1h)-quinolone synthase subunit pqsb	2-heptyl-4(1H)-quinolone synthase subunit PqsB	contig_1352	cds	170108	170959	-	MDNEJI_05349	pqsB	SO:0001217, UniRef:UniRef50_Q9I4X2
2-heptyl-4(1h)-quinolone synthase subunit pqsc	2-heptyl-4(1H)-quinolone synthase subunit PqsC	contig_1352	cds	169069	170115	-	MDNEJI_05348	pqsC	SO:0001217, UniRef:UniRef50_Q9I4X1
2-hydoxy-3-oxopropionate reductase glxr	2-hydoxy-3-oxopropionate reductase GlxR	contig_930	cds	120836	121726	-	MDNEJI_02757	glxR	SO:0001217, UniRef:UniRef50_A0A0B6RTV4
2-hydroxy-3-oxopropionate reductase	2-hydroxy-3-oxopropionate reductase	contig_111;contig_333	cds	164246;170167	165136;171042	+;-	MDNEJI_00182;MDNEJI_00618		SO:0001217, UniRef:UniRef50_A0A0D6HRR5;SO:0001217, UniRef:UniRef50_U7PAX2
2-hydroxy-6-oxo-6-(2'-aminophenyl)hexa-2, 4-dienoic acid hydrolase	2-hydroxy-6-oxo-6-(2'-aminophenyl)hexa-2, 4-dienoic acid hydrolase	contig_1241	cds	60051	60947	-	MDNEJI_04788		SO:0001217, UniRef:UniRef50_A0A5E7U946
2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase	2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase	contig_1352	cds	418348	419289	-	MDNEJI_05586		SO:0001217, UniRef:UniRef50_A0A5P9CC05
2-hydroxychromene-2-carboxylate isomerase	2-hydroxychromene-2-carboxylate isomerase	contig_222	cds	144319	144906	-	MDNEJI_00380		SO:0001217, UniRef:UniRef50_A0A2S6RVT3
2-iminobutanoate/2-iminopropanoate deaminase	2-iminobutanoate/2-iminopropanoate deaminase	contig_1019;contig_885	cds	60371;67115	60748;67468	+	MDNEJI_01569;MDNEJI_03496		SO:0001217, UniRef:UniRef50_A0A0B7DKA6;SO:0001217, UniRef:UniRef50_A0A5E6ZJY3
2-isopropylmalate synthase	2-isopropylmalate synthase	contig_1130;contig_919	cds	458661;64213	460331;65580	+;-	MDNEJI_02577;MDNEJI_04594		SO:0001217, UniRef:UniRef50_Q9HXK5;SO:0001217, UniRef:UniRef50_S3N1E7
2-keto-3-deoxy-l-lyxonate dehydratase	2-keto-3-deoxy-L-lyxonate dehydratase	contig_333	cds	188713	189708	+	MDNEJI_00635		BlastRules:WP_084929481, EC:4.2.1.43, SO:0001217, UniRef:UniRef50_W8X553
2-ketoarginine d	putative 2-ketoarginine decarboxylase AruI	contig_908	cds	317672	319282	-	MDNEJI_02247	aruI	SO:0001217, UniRef:UniRef50_Q9HUI8
2-methylaconitate cis-trans isomerase prpf	2-methylaconitate cis-trans isomerase PrpF	contig_1796	cds	69242	70429	+	MDNEJI_06615	prpF	SO:0001217, UniRef:UniRef50_Q1N892
2-methylcitrate dehydratase	2-methylcitrate dehydratase	contig_1796	cds	70564	72048	+	MDNEJI_06616		SO:0001217, UniRef:UniRef50_P74840
2-methylcitrate dehydratase (2-methyl-trans-aconitate forming)	2-methylcitrate dehydratase (2-methyl-trans-aconitate forming)	contig_1796	cds	66517	69123	+	MDNEJI_06614		SO:0001217, UniRef:UniRef50_Q8EJW3
2-methylcitrate synthase	2-methylcitrate synthase	contig_1796	cds	65259	66386	+	MDNEJI_06613		SO:0001217, UniRef:UniRef50_Q8EJW2
2-methylisocitrate lyase	2-methylisocitrate lyase	contig_1796	cds	64270	65166	+	MDNEJI_06612		SO:0001217, UniRef:UniRef50_Q8EJW1
2-nitropropane dioxygenase	2-nitropropane dioxygenase	contig_1352;contig_1463	cds	140088;7891	141074;8859	+;-	MDNEJI_05318;MDNEJI_05625		SO:0001217, UniRef:UniRef50_A0A0N9XHW0;SO:0001217, UniRef:UniRef50_A1KC81
2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase	2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase	contig_974	cds	34513	35730	-	MDNEJI_03134		SO:0001217, UniRef:UniRef50_A0A089YTV2
2-octaprenyl-6-methoxyphenyl hydroxylase	2-octaprenyl-6-methoxyphenyl hydroxylase	contig_974	cds	36246	37430	-	MDNEJI_03136		SO:0001217, UniRef:UniRef50_A0A974RW14
2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline d	2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase	contig_777	cds	3249	3764	-	MDNEJI_01343		SO:0001217, UniRef:UniRef50_A0A379KLF4
2-oxo-hept-4-ene-1,7-dioate hydratase	2-oxo-hept-4-ene-1,7-dioate hydratase	contig_1130	cds	93736	94539	-	MDNEJI_04246		SO:0001217, UniRef:UniRef50_P42270
2-oxoglutarate dehydrogenase e1 component	2-oxoglutarate dehydrogenase E1 component	contig_777	cds	79397	82228	+	MDNEJI_01416		SO:0001217, UniRef:UniRef50_P20707
2-oxoglutarate-dependent ethylene/succinate-forming enzyme	2-oxoglutarate-dependent ethylene/succinate-forming enzyme	contig_222	cds	113910	114872	-	MDNEJI_00350		SO:0001217, UniRef:UniRef50_A0A0P9QX70
2-oxoisovalerate dehydrogenase subunit alpha	2-oxoisovalerate dehydrogenase subunit alpha	contig_985	cds	46797	48029	-	MDNEJI_03231		SO:0001217, UniRef:UniRef50_P09060
2-polyprenyl-6-hydroxyphenyl methylase/3-demethylubiquinone-9 3-methyltransferase	2-polyprenyl-6-hydroxyphenyl methylase/3-demethylubiquinone-9 3-methyltransferase	contig_1574	cds	14024	14503	-	MDNEJI_06040		SO:0001217, UniRef:UniRef50_A0A7X6J6G1
2-succinyl-6-hydroxy-2, 4-cyclohexadiene-1-carboxylate synthase	2-succinyl-6-hydroxy-2, 4-cyclohexadiene-1-carboxylate synthase	contig_777	cds	120497	121357	+	MDNEJI_01453		SO:0001217, UniRef:UniRef50_A0A5E6V9J2
23s ribosomal rna	23S ribosomal RNA	contig_1163	rRNA	281	3171	-	MDNEJI_04682	rrl	GO:0003735, GO:0005840, KEGG:K01980, RFAM:RF02541, SO:0001001
23s rrna (guanine(745)-n(1))-methyltransferase	23S rRNA (Guanine(745)-N(1))-methyltransferase	contig_919	cds	124444	125247	+	MDNEJI_02633		SO:0001217, UniRef:UniRef50_A0A5E7C527
23s rrna (guanosine-2'-o-)-methyltransferase rlmb	23S rRNA (guanosine-2'-O-)-methyltransferase RlmB	contig_908	cds	268042	268788	-	MDNEJI_02204	rlmB	SO:0001217, UniRef:UniRef50_Q8ZIV4
23s rrna (uracil(1939)-c(5))-methyltransferase rlmd	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD	contig_1352	cds	299960	301312	-	MDNEJI_05475	rlmD	SO:0001217, UniRef:UniRef50_Q88MB9
2fe-2s ferredoxin	2Fe-2S ferredoxin	contig_1130	cds	443570	443908	+	MDNEJI_04577		SO:0001217, UniRef:UniRef50_P0A9R4
2fe-2s ferredoxin-type domain-containing protein	2Fe-2S ferredoxin-type domain-containing protein	contig_444;contig_941;contig_952	cds	19237;65206;68658	19698;66132;69197	+;-	MDNEJI_00726;MDNEJI_02792;MDNEJI_02954		SO:0001217, UniRef:UniRef50_A0A024HNF8;SO:0001217, UniRef:UniRef50_A0A2E7LHN0;SO:0001217, UniRef:UniRef50_A0AAP8N7D6
3'(2'),5'-bisphosphate nucleotidase cysq	3'(2'),5'-bisphosphate nucleotidase CysQ	contig_908	cds	588267	589088	-	MDNEJI_02493	cysQ	SO:0001217, UniRef:UniRef50_T0QUZ5
3',5'-cyclic adenosine monophosphate phosphodiesterase cpda	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA	contig_908	cds	308773	309591	-	MDNEJI_02239	cpdA	SO:0001217, UniRef:UniRef50_D4P095
3'-phosphate/5'-hydroxy nucleic acid ligase	3'-phosphate/5'-hydroxy nucleic acid ligase	contig_555;contig_952	cds	115705;88756	116919;89895	+;-	MDNEJI_00981;MDNEJI_02994		SO:0001217, UniRef:UniRef50_A0A3S4JXQ7;SO:0001217, UniRef:UniRef50_A0A5E7DVA3
3,4-dihydroxy-2-butanone 4-phosphate synthase	3,4-dihydroxy-2-butanone 4-phosphate synthase	contig_1130	cds	172579	173676	+	MDNEJI_04318		SO:0001217, UniRef:UniRef50_Q9HWX4
3,4-dihydroxyphenylacetate 2,3-dioxygenase	3,4-dihydroxyphenylacetate 2,3-dioxygenase	contig_1130	cds	96357	97280	-	MDNEJI_04249		SO:0001217, UniRef:UniRef50_A0A1I0TEY4
3-(3-hydroxyd	3-(3-hydroxydecanoyloxy)decanoate synthase	contig_1241	cds	111942	112829	-	MDNEJI_04839	rhlA	BlastRules:WP_003113897, EC:2.3.1.-, SO:0001217, UniRef:UniRef50_Q51559
3-alpha,7-alpha, 12-alpha-trihydroxy-5-beta-cholest-24-enoyl-coa hydratase	3-alpha,7-alpha, 12-alpha-trihydroxy-5-beta-cholest-24-enoyl-CoA hydratase	contig_1352	cds	147029	147895	-	MDNEJI_05326		SO:0001217, UniRef:UniRef50_A0A0H2Z7L9
3-beta hydroxysteroid dehydrogenase/isomerase domain-containing protein	3-beta hydroxysteroid dehydrogenase/isomerase domain-containing protein	contig_444	cds	94990	95979	-	MDNEJI_00757		SO:0001217, UniRef:UniRef50_A0A3M5DSG6
3-carboxy-cis,cis-muconate cycloisomerase	3-carboxy-cis,cis-muconate cycloisomerase	contig_1241;contig_222	cds	136646;27454	138079;28833	-	MDNEJI_00273;MDNEJI_04859		SO:0001217, UniRef:UniRef50_A0A2R4KQ92;SO:0001217, UniRef:UniRef50_P32427
3-dehydro-bile acid delta(4,6)-reductase	3-dehydro-bile acid delta(4,6)-reductase	contig_1130	cds	285491	286732	-	MDNEJI_04430		SO:0001217, UniRef:UniRef50_A0A6J5ECD8
3-dehydrocarnitine:acetyl-coa trimethylamine transferase	3-dehydrocarnitine:acetyl-CoA trimethylamine transferase	contig_555	cds	183675	184559	+	MDNEJI_01068		SO:0001217, UniRef:UniRef50_Q9HTH7
3-dehydroquinate dehydratase	3-dehydroquinate dehydratase	contig_908	cds	169415	169858	+	MDNEJI_02111		SO:0001217, UniRef:UniRef50_B1KR25
3-dehydroquinate dehydratase 2	3-dehydroquinate dehydratase 2	contig_222	cds	11102	11548	+	MDNEJI_00258		SO:0001217, UniRef:UniRef50_Q8U7B8
3-dehydroquinate synthase	3-dehydroquinate synthase	contig_908	cds	404157	405263	-	MDNEJI_02310		SO:0001217, UniRef:UniRef50_P34002
3-dehydroshikimate dehydratase	3-dehydroshikimate dehydratase	contig_222	cds	13200	15104	-	MDNEJI_00261		SO:0001217, UniRef:UniRef50_Q88JU3
3-demethoxyubiquinol 3-hydroxylase	3-demethoxyubiquinol 3-hydroxylase	contig_1463	cds	12962	13609	+	MDNEJI_05630		SO:0001217, UniRef:UniRef50_Q9I5R6
3-demethylubiquinone-9 3-methyltransferase	3-demethylubiquinone-9 3-methyltransferase	contig_1574;contig_963	cds	103029;9074	103838;9472	+;-	MDNEJI_03010;MDNEJI_06125		SO:0001217, UniRef:UniRef50_A0A2X2WUG7;SO:0001217, UniRef:UniRef50_H6RK54
3-deoxy-7-phosphoheptulonate synthase	3-deoxy-7-phosphoheptulonate synthase	contig_1019;contig_666	cds	267078;87936	268172;89012	-	MDNEJI_01196;MDNEJI_03681		SO:0001217, UniRef:UniRef50_A0A011P7Q5;SO:0001217, UniRef:UniRef50_A0A0Q0D0W0
3-deoxy-d-manno-octulosonate 8-phosphate phosphatase kdsc	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC	contig_444	cds	196164	196703	+	MDNEJI_00857	kdsC	SO:0001217, UniRef:UniRef50_Q88P96
3-deoxy-d-manno-octulosonic acid kinase	3-deoxy-D-manno-octulosonic acid kinase	contig_908	cds	355000	356478	-	MDNEJI_02277		SO:0001217, UniRef:UniRef50_A0A5E6W4N8
3-deoxy-d-manno-octulosonic-acid (kdo) transferase	3-deoxy-D-manno-octulosonic-acid (KDO) transferase	contig_908	cds	359885	360952	-	MDNEJI_02282	waaC	SO:0001217, UniRef:UniRef50_B4F130, VFDB:VFC0258, VFDB:VFG000142
3-deoxy-manno-octulosonate cytidylyltransferase	3-deoxy-manno-octulosonate cytidylyltransferase	contig_1019	cds	229188	229952	+	MDNEJI_03643		SO:0001217, UniRef:UniRef50_Q88LM7
3-guanidinopropionate transport protein	3-guanidinopropionate transport protein	contig_1463;contig_930	cds	35203;380012	36594;381397	-	MDNEJI_02675;MDNEJI_05991		SO:0001217, UniRef:UniRef50_Q9I6K3
3-hydroxyacyl-[acyl-carrier-protein] dehydratase fabz	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ	contig_1241	cds	286658	287098	-	MDNEJI_04989	fabZ	SO:0001217, UniRef:UniRef50_Q88MG9
3-hydroxyacyl-coa dehydrogenase	3-hydroxyacyl-CoA dehydrogenase	contig_1241;contig_1352;contig_777	cds	126274;141090;226900	127803;142007;228432	-	MDNEJI_01459;MDNEJI_04933;MDNEJI_05319		SO:0001217, UniRef:UniRef50_A0A6I6GZF9;SO:0001217, UniRef:UniRef50_K8PU55
3-hydroxyacyl-coa dehydrogenase type-2	3-hydroxyacyl-CoA dehydrogenase type-2	contig_1574	cds	216117	216884	+	MDNEJI_06230		SO:0001217, UniRef:UniRef50_A0A1K0I8X5
3-hydroxybutyrate dehydrogenase	3-hydroxybutyrate dehydrogenase	contig_896	cds	41520	42290	+	MDNEJI_01698	bdhA	BlastRules:WP_003113501, SO:0001217, UniRef:UniRef50_W9B918
3-hydroxybutyryl-coa dehydratase	3-hydroxybutyryl-CoA dehydratase	contig_111	cds	149642	150112	+	MDNEJI_00167		SO:0001217, UniRef:UniRef50_A0A2Z5AGN8
3-hydroxyd	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase	contig_777	cds	108055	108570	-	MDNEJI_01441		SO:0001217, UniRef:UniRef50_O33877
3-isopropylmalate dehydratase	3-isopropylmalate dehydratase	contig_111	cds	130378	130791	+	MDNEJI_00156		SO:0001217, UniRef:UniRef50_Q9HYV4
3-isopropylmalate dehydratase large subunit	3-isopropylmalate dehydratase large subunit	contig_1019	cds	61897	63321	+	MDNEJI_03498		SO:0001217, UniRef:UniRef50_A1AW36
3-isopropylmalate dehydratase small subunit 2	3-isopropylmalate dehydratase small subunit 2	contig_1019	cds	63333	63971	+	MDNEJI_03499		SO:0001217, UniRef:UniRef50_Q65V08
3-isopropylmalate dehydrogenase	3-isopropylmalate dehydrogenase	contig_1019	cds	64863	65945	+	MDNEJI_03501		SO:0001217, UniRef:UniRef50_A0A6J5DY08
3-keto-5-aminohexanoate cleavage protein	3-keto-5-aminohexanoate cleavage protein	contig_1796	cds	48518	49813	+	MDNEJI_06596		SO:0001217, UniRef:UniRef50_Q9I5C7
3-ketoacyl-(acyl-carrier-protein) reductase	3-ketoacyl-(Acyl-carrier-protein) reductase	contig_1130	cds	135305	136054	-	MDNEJI_04283		SO:0001217, UniRef:UniRef50_A0A448BY97
3-ketoacyl-acp reductase	3-ketoacyl-ACP reductase	contig_930;contig_941	cds	85270;90597	86031;91334	+;-	MDNEJI_02727;MDNEJI_02850		SO:0001217, UniRef:UniRef50_S4YLE6;SO:0001217, UniRef:UniRef50_W1N2D7
3-ketoacyl-coa thiolase	3-ketoacyl-CoA thiolase	contig_1019	cds	193245	194420	+	MDNEJI_03608		SO:0001217, UniRef:UniRef50_P28790
3-ketoacyl-coa thiolase/ acetyl-coa acetyltransferase	3-ketoacyl-CoA thiolase/ Acetyl-CoA acetyltransferase	contig_908	cds	101532	102809	-	MDNEJI_02047		SO:0001217, UniRef:UniRef50_A0A137SDL3
3-mercaptopropionate dioxygenase	3-mercaptopropionate dioxygenase	contig_1574	cds	155803	156408	-	MDNEJI_06175		BlastRules:WP_003113364, EC:1.13.11.-, SO:0001217, UniRef:UniRef50_A0A1Y6JJA3
