# Annotated with Bakta
# Software: v1.8.2
# Database: v5.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_111	cds	46809	47435	-	COBAOO_00350		DNA polymerase III PolC-type	SO:0001217, UniRef:UniRef50_A0A127MX91
contig_111	cds	47432	49231	-	COBAOO_00355		Cyclic nucleotide-binding domain-containing protein	SO:0001217, UniRef:UniRef50_A0A024HKN4
contig_111	cds	49321	50976	-	COBAOO_00360	actP	Cation/acetate symporter actP	SO:0001217, UniRef:UniRef50_D2T8G6
contig_111	cds	50973	51284	-	COBAOO_00365		DUF485 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A564WE23
contig_111	cds	51502	52359	-	COBAOO_00370	betX	Choline / betaine / carnitine ABC transporter-substrate binding protein BetX	SO:0001217, UniRef:UniRef50_Q88M34
contig_111	cds	52652	52873	+	COBAOO_00375		hypothetical protein	
contig_111	cds	53016	54377	+	COBAOO_00380		Serine/threonine protein kinase	SO:0001217, UniRef:UniRef50_A5W7J5
contig_111	cds	54381	55184	+	COBAOO_00385		ABC transporter	SO:0001217, UniRef:UniRef50_A0A024HLD5
contig_111	cds	55324	55587	+	COBAOO_00390		hypothetical protein	
contig_111	cds	55618	57195	+	COBAOO_00395		Putative recombinase	SO:0001217, UniRef:UniRef50_V6ACC0
contig_111	cds	58090	58440	+	COBAOO_00400		Phage protein	SO:0001217, UniRef:UniRef50_A0A8G2QBV3
contig_111	cds	58473	59099	+	COBAOO_00405		Minor capsid protein	SO:0001217, UniRef:UniRef50_A0A8G3NH14
contig_111	cds	59400	59636	-	COBAOO_00410		hypothetical protein	
contig_111	cds	60028	60219	+	COBAOO_00415		hypothetical protein	
contig_111	cds	60232	60570	+	COBAOO_00420		Flg-bbr-C domain-containing protein	SO:0001217, UniRef:UniRef50_A0A8G7D1Y8
contig_111	cds	60598	60798	+	COBAOO_00425		hypothetical protein	
contig_111	cds	60798	60983	+	COBAOO_00430		hypothetical protein	
contig_111	cds	60985	61320	+	COBAOO_00435		DUF3077 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A8G2V1V3
contig_111	cds	61390	61776	+	COBAOO_00440	lprI	LprI domain-containing protein	SO:0001217, UniRef:UniRef50_A0A8G7A423
contig_111	cds	62029	62535	+	COBAOO_00445		DNA phosphorothioation-associated protein 4	SO:0001217, UniRef:UniRef50_A0A8G7A6C8
contig_111	cds	63070	63870	+	COBAOO_00450		Flp operon protein C	SO:0001217, UniRef:UniRef50_A0A8G2QH30
contig_111	cds	64840	65508	+	COBAOO_00455		Intraflagellar transport protein 52	SO:0001217, UniRef:UniRef50_A0A8G5A268
contig_111	cds	65524	67848	+	COBAOO_00460		TMP-3 domain-containing protein	SO:0001217, UniRef:UniRef50_V6AC82
contig_111	cds	68471	69430	+	COBAOO_00465		Bacteriophage protein	SO:0001217, UniRef:UniRef50_A0A8G7A759
contig_111	cds	69587	70312	+	COBAOO_00470		Gp138-N domain-containing protein	SO:0001217, UniRef:UniRef50_A0A8G7A434
contig_111	cds	70910	71332	+	COBAOO_00475		hypothetical protein	SO:0001217, UniRef:UniRef50_UPI001E3E3781
contig_111	cds	72808	73908	+	COBAOO_00480		Phage protein	SO:0001217, UniRef:UniRef50_A0A8G2V1I5
contig_111	cds	74243	74938	+	COBAOO_00485		Resolvase/invertase-type recombinase catalytic domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3M4RWZ9
contig_111	cds	76551	76835	+	COBAOO_00490		hypothetical protein	
contig_111	cds	77059	77691	+	COBAOO_00495		hypothetical protein	PFAM:PF05726.16
contig_111	cds	77755	78924	-	COBAOO_00500		PNPLA domain-containing protein	SO:0001217, UniRef:UniRef50_A0A024HKP3
contig_111	cds	78992	79930	-	COBAOO_00505		Lipid A biosynthesis lauroyltransferase	SO:0001217, UniRef:UniRef50_A0A0B3BUF9
contig_111	cds	80090	80881	+	COBAOO_00510	minC	putative septum site-determining protein MinC	SO:0001217, UniRef:UniRef50_Q88M41
contig_111	cds	80943	81758	+	COBAOO_00515	minD	Septum site-determining protein MinD	SO:0001217, UniRef:UniRef50_A0A167ZP17
contig_111	cds	81755	82009	+	COBAOO_00520		Cell division topological specificity factor	SO:0001217, UniRef:UniRef50_Q1IDE4
contig_111	cds	82113	82748	+	COBAOO_00525		Pseudouridine synthase	SO:0001217, UniRef:UniRef50_A0A545SDR6
contig_111	cds	82917	84206	+	COBAOO_00530		M18 family aminopeptidase	SO:0001217, UniRef:UniRef50_A0A3M5P2C5
contig_111	cds	84249	84800	-	COBAOO_00535		N-acetyltransferase domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1C7BYC6
contig_111	cds	84866	85582	-	COBAOO_00540		2-aminoethylphosphonate uptake/ metabolism regulator	SO:0001217, UniRef:UniRef50_A0A069Q6V9
contig_111	cds	85945	87003	+	COBAOO_00545		Sulfate-binding protein	SO:0001217, UniRef:UniRef50_A0A3A4CE26
contig_111	cds	87058	87867	+	COBAOO_00550		Nucleotide pyrophosphatase	SO:0001217, UniRef:UniRef50_A0A0N8SYC7
contig_111	cds	87864	88703	+	COBAOO_00555		ABC transmembrane type-1 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0W8JG47
contig_111	cds	88690	89487	+	COBAOO_00560		Spermidine/putrescine ABC transporter, permease component	SO:0001217, UniRef:UniRef50_A0A0E1GM74
contig_111	cds	89490	90485	+	COBAOO_00565		ATP-binding component of an ABC superfamily spermidine/putrescine transporter	SO:0001217, UniRef:UniRef50_A0A085JKE4
contig_111	cds	90485	91135	+	COBAOO_00570		Phosphoserine phosphatase	SO:0001217, UniRef:UniRef50_A0A085G6Z7
contig_111	cds	91202	92164	-	COBAOO_00575		NAD(P)H-quinone oxidoreductase	SO:0001217, UniRef:UniRef50_A0A177YUC5
contig_111	cds	92261	94390	+	COBAOO_00580		Periplasmic tail-specific protease	SO:0001217, UniRef:UniRef50_A0A485F5I7
contig_111	cds	94486	96234	+	COBAOO_00585		Diguanylate phosphodiesterase	SO:0001217, UniRef:UniRef50_A0A5E7DIP5
contig_111	cds	96248	96727	-	COBAOO_00590		Sel1 repeat family protein	SO:0001217, UniRef:UniRef50_M4X2W8
contig_111	cds	96717	97076	-	COBAOO_00595	marR	MarR family transcriptional regulator	SO:0001217, UniRef:UniRef50_A0A024HKB3
contig_111	cds	97085	97396	-	COBAOO_00600		hypothetical protein	PFAM:PF01381.25, PFAM:PF12844.10, PFAM:PF13413.9, PFAM:PF13560.9
contig_111	cds	97500	98246	+	COBAOO_00605		PBPb domain-containing protein	SO:0001217, UniRef:UniRef50_A6V2F9
contig_111	cds	98234	98665	-	COBAOO_00610		DUF1232 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A078LNS3
contig_111	cds	99035	99796	-	COBAOO_00615		Peptidyl-prolyl cis-trans isomerase	SO:0001217, UniRef:UniRef50_A0A4R6TXM0
contig_111	tRNA	100053	100129	-	COBAOO_00620	trnD	tRNA-Asp(gtc)	SO:0000256
contig_111	tRNA	100146	100221	-	COBAOO_00625	trnV	tRNA-Val(tac)	SO:0000273
contig_111	cds	100386	101306	+	COBAOO_00630	rdgC	Recombination-associated protein RdgC	SO:0001217, UniRef:UniRef50_Q88M72
contig_111	cds	101393	102328	+	COBAOO_00635		Sodium transporter	SO:0001217, UniRef:UniRef50_T0CNM1
contig_111	cds	102468	102782	+	COBAOO_00640		Guanidinium exporter	SO:0001217, UniRef:UniRef50_Q7MZY0
contig_111	cds	102997	103206	+	COBAOO_00645		CSD domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0R1TZW3
contig_111	cds	103267	105141	-	COBAOO_00650	lplT	Lysophospholipid transporter LplT	SO:0001217, UniRef:UniRef50_A0A3G7A5C9
contig_111	ncRNA	104368	104492	-	COBAOO_00655	Bcj11	Burkholderia RNA 11	RFAM:RF02835, SO:0000655
contig_111	cds	105316	107481	-	COBAOO_00660	fecA	Fe(3+) dicitrate transport protein FecA	SO:0001217, UniRef:UniRef50_A0A0A8RFT4
contig_111	cds	107578	108432	-	COBAOO_00665		HTH araC/xylS-type domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0A8RG57
contig_111	cds	108499	109068	-	COBAOO_00670		N-acetyltransferase domain-containing protein	SO:0001217, UniRef:UniRef50_A0A024HKC3
contig_111	cds	109352	112831	+	COBAOO_00675		histidine kinase	SO:0001217, UniRef:UniRef50_Q6LLZ5
contig_111	cds	112839	117185	-	COBAOO_00680		ATP-dependent DNA helicase	SO:0001217, UniRef:UniRef50_A0A4P0UDJ0
contig_111	cds	117254	117637	-	COBAOO_00685		Transcriptional regulator	SO:0001217, UniRef:UniRef50_A0A0D6RZZ2
contig_111	cds	117804	118091	+	COBAOO_00690		Secreted protein	SO:0001217, UniRef:UniRef50_A0A2R3J458
contig_111	cds	118170	118499	-	COBAOO_00695		UPF0060 membrane protein Pfl01_4105	SO:0001217, UniRef:UniRef50_Q3K8R2
contig_111	cds	118496	118918	-	COBAOO_00700		DUF1281 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A024HLN7
contig_111	cds	119151	119963	-	COBAOO_00705		Oxidoreductase, short chain dehydrogenase/reductase family	SO:0001217, UniRef:UniRef50_W6QXS1
contig_111	cds	120088	120387	-	COBAOO_00710		Transmembrane protein	SO:0001217, UniRef:UniRef50_A6V2E1
contig_111	cds	120556	121878	-	COBAOO_00715	oprP	outer membrane porin OprP	BlastRules:WP_003119678, SO:0001217, UniRef:UniRef50_P05695
contig_111	cds	122337	123653	-	COBAOO_00720	oprO	outer membrane porin OprO	BlastRules:WP_003104423, SO:0001217, UniRef:UniRef50_P05695
contig_111	cds	123900	124490	-	COBAOO_00725	catD	Oxidoreductase CatD	SO:0001217, UniRef:UniRef50_A0A5S9QIB4
contig_111	cds	124493	125227	-	COBAOO_00730		DUF2063 domain-containing protein	SO:0001217, UniRef:UniRef50_U2ZJB2
contig_111	cds	125224	126078	-	COBAOO_00735		UPF0276 protein PA4106	SO:0001217, UniRef:UniRef50_Q9HWS2
contig_111	cds	126097	126411	-	COBAOO_00740		hypothetical protein	
contig_111	ncRNA	126765	127046	-	COBAOO_00745	P17	Pseudomonas sRNA P17	RFAM:RF01670, SO:0000655
contig_111	cds	126817	127056	-	COBAOO_00750		zf-HC2 domain-containing protein	SO:0001217, UniRef:UniRef50_L8MN36
contig_111	cds	127050	127661	-	COBAOO_00755		RNA polymerase sigma factor	SO:0001217, UniRef:UniRef50_A0A0C5E0Q3
contig_111	cds	127664	128785	-	COBAOO_00760		3-oxoacyl-[acyl-carrier-protein] synthase 3	SO:0001217, UniRef:UniRef50_A0A0B7D6F8
contig_111	cds	129276	129791	+	COBAOO_00765		hypothetical protein	PFAM:PF00023.33, PFAM:PF12796.10, PFAM:PF13606.9, PFAM:PF13637.9, PFAM:PF13857.9
contig_111	cds	129795	130265	-	COBAOO_00770		Isochorismatase domain-containing protein	SO:0001217, UniRef:UniRef50_I3TKI3
contig_111	cds	130378	130791	+	COBAOO_00775		3-isopropylmalate dehydratase	SO:0001217, UniRef:UniRef50_S6AR61
contig_111	cds	130830	132965	-	COBAOO_00780		DUF2235 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A8S0H5I5
contig_111	cds	135088	135903	-	COBAOO_00785		DUF4123 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1C7BZ25
contig_111	cds	135913	137979	-	COBAOO_00790	vgrG1	Actin cross-linking toxin VgrG1	SO:0001217, UniRef:UniRef50_A0A5E6XZR4
contig_111	cds	138208	138645	-	COBAOO_00795		Protein hit	SO:0001217, UniRef:UniRef50_A0A098FMB1
contig_111	cds	138850	140280	+	COBAOO_00800		Alkaline phosphatase	SO:0001217, UniRef:UniRef50_A0A5B8NT11
contig_111	cds	140353	144333	-	COBAOO_00805	hrpA	ATP-dependent RNA helicase HrpA	SO:0001217, UniRef:UniRef50_A0A5J6LBE1
contig_111	cds	144508	144717	-	COBAOO_00810		Addiction module protein	SO:0001217, UniRef:UniRef50_A6V2C4
contig_111	cds	144837	146525	-	COBAOO_00815		Long-chain acyl-CoA synthetase	SO:0001217, UniRef:UniRef50_A0A2T5IX16
contig_111	cds	146760	148448	-	COBAOO_00820		Long-chain-fatty-acid--CoA ligase	SO:0001217, UniRef:UniRef50_A0A142BFM1
contig_111	cds	148695	149645	+	COBAOO_00825		Lysophospholipase	SO:0001217, UniRef:UniRef50_A0A143GCX9
contig_111	cds	149642	150112	+	COBAOO_00830		3-hydroxybutyryl-CoA dehydratase	SO:0001217, UniRef:UniRef50_A0A142BFM5
contig_111	cds	150263	151438	+	COBAOO_00835		MFS domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3M5DH72
contig_111	cds	151419	152276	-	COBAOO_00840		Efflux transporter periplasmic adaptor subunit	SO:0001217, UniRef:UniRef50_A0A1E7PVP8
contig_111	cds	152304	152507	-	COBAOO_00845		DUF1656 domain-containing protein	SO:0001217, UniRef:UniRef50_N2JCC6
contig_111	ncRNA	152349	152483	-	COBAOO_00850	P18	Pseudomonas sRNA P18	RFAM:RF01671, SO:0000655
contig_111	cds	152494	154488	-	COBAOO_00855		FUSC family protein	SO:0001217, UniRef:UniRef50_N2JHB5
contig_111	ncRNA	154635	154847	-	COBAOO_00860	phrS	PhrS	RFAM:RF01673, SO:0000655
contig_111	cds	154696	154809	-	COBAOO_00865		ATP-dependent helicase	SO:0001217, UniRef:UniRef50_A5VZN4
contig_111	cds	155058	155219	-	COBAOO_00870		Transcriptional regulator	SO:0001217, UniRef:UniRef50_K9NGX7
contig_111	cds	155216	155818	-	COBAOO_00875		Fe2OG dioxygenase domain-containing protein	SO:0001217, UniRef:UniRef50_A0A024HDC2
contig_111	cds	155872	156180	-	COBAOO_00880		Aspartate-semialdehyde dehydrogenase	SO:0001217, UniRef:UniRef50_A0A1H0M955
contig_111	cds	156422	159268	+	COBAOO_00885	rapA	RNA polymerase-associated protein RapA	SO:0001217, UniRef:UniRef50_Q9HYT6
contig_111	cds	159551	160006	+	COBAOO_00890		Usp domain-containing protein	SO:0001217, UniRef:UniRef50_A0A024HEI4
contig_111	cds	160075	161730	-	COBAOO_00895		DUF1705 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A069Q704
contig_111	cds	162062	164242	+	COBAOO_00900		Diguanylate phosphodiesterase	SO:0001217, UniRef:UniRef50_A0A3M4F9V6
contig_111	cds	164246	165136	-	COBAOO_00905		NAD(P)-dependent oxidoreductase	SO:0001217, UniRef:UniRef50_A0A2P6ARC9
contig_111	cds	165285	166142	+	COBAOO_00910		PBPb domain-containing protein	SO:0001217, UniRef:UniRef50_A0A024HE28
contig_111	cds	166139	166942	+	COBAOO_00915	phnC	Phosphonates import ATP-binding protein PhnC 1	SO:0001217, UniRef:UniRef50_Q9HYT0
contig_111	cds	166936	167769	+	COBAOO_00920		ABC transmembrane type-1 domain-containing protein	SO:0001217, UniRef:UniRef50_F4GVJ9
contig_111	cds	167766	168536	+	COBAOO_00925	phnE	Phosphate-import permease protein PhnE	SO:0001217, UniRef:UniRef50_A0A6P2EAN8
contig_111	cds	168660	169388	+	COBAOO_00930		hypothetical protein	
contig_111	cds	169454	169954	+	COBAOO_00935		Secreted protein	SO:0001217, UniRef:UniRef50_A0A0C7AKN8
contig_111	cds	170012	172090	-	COBAOO_00940		Non-hemolytic phospholipase C	SO:0001217, UniRef:UniRef50_P15713
contig_111	cds	172321	172776	-	COBAOO_00945		DMT family transporter	SO:0001217, UniRef:UniRef50_A0A024HLT7
contig_111	cds	172865	173779	+	COBAOO_00950	lysR	LysR family transcriptional regulator	SO:0001217, UniRef:UniRef50_A0A2C9WYV9
contig_111	cds	173787	174599	-	COBAOO_00955		hypothetical protein	
contig_111	cds	174911	175786	+	COBAOO_00960		Aminopeptidase P family protein	SO:0001217, UniRef:UniRef50_A0A550HGU5
contig_111	cds	175783	177561	+	COBAOO_00965		NADPH-dependent carbonyl reductase	SO:0001217, UniRef:UniRef50_A0A0H3KWF1
contig_111	cds	177571	178458	+	COBAOO_00970		Metal-dependent hydrolase	SO:0001217, UniRef:UniRef50_A0A024HLU3
contig_111	cds	178800	179405	-	COBAOO_00975		ATP-dependent Clp protease proteolytic subunit 2	SO:0001217, UniRef:UniRef50_Q9HYR9
contig_111	cds	179887	186945	+	COBAOO_00980		hypothetical protein	PFAM:PF00550.28, PFAM:PF00975.23, PFAM:PF12697.10, PFAM:PF13193.9
contig_111	cds	186942	188108	+	COBAOO_00985		FAD-dependent monooxygenase	SO:0001217, UniRef:UniRef50_A0A069QFY9
contig_111	cds	188108	189433	+	COBAOO_00990		Condensation domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2T4FRJ7
contig_111	cds	189435	190349	+	COBAOO_00995		SDR family NAD(P)-dependent oxidoreductase	SO:0001217, UniRef:UniRef50_A0A7D6Z5A9
contig_111	cds	190342	191598	+	COBAOO_01000		Cytochrome P450 107B1	SO:0001217, UniRef:UniRef50_A0A0A8RGB5
contig_111	cds	191595	192020	+	COBAOO_01005		SnoaL-like domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3N1H1P7
contig_111	cds	192024	193016	+	COBAOO_01010		Beta-ketoacyl-[acyl-carrier-protein] synthase III	SO:0001217, UniRef:UniRef50_A0A8G4AT66
contig_111	cds	193030	193269	+	COBAOO_01015		hypothetical protein	PFAM:PF00550.28
contig_111	cds	193399	194139	+	COBAOO_01020		Class I SAM-dependent methyltransferase	SO:0001217, UniRef:UniRef50_A0A1C7C9X0
contig_111	cds	194231	195397	+	COBAOO_01025		Arabinose efflux permease	SO:0001217, UniRef:UniRef50_U2MHD6
contig_111	cds	195408	196400	-	COBAOO_01030		ADP-L-glycero-D-manno-heptose-6-epimerase	SO:0001217, UniRef:UniRef50_Q9JQX8
contig_111	cds	196496	196786	-	COBAOO_01035		SelT/SelW/SelH family protein	SO:0001217, UniRef:UniRef50_A0A081NF09
contig_111	cds	196855	199041	+	COBAOO_01040	plpD	patatin-like phospholipase PlpD	BlastRules:WP_003113139, SO:0001217, UniRef:UniRef50_A0A0K1XDP1
contig_111	cds	199049	201100	-	COBAOO_01045	fimV	Pilus assembly protein FimV	SO:0001217, UniRef:UniRef50_A0A2R4KRY6
contig_111	cds	201377	201811	-	COBAOO_01050		HTH marR-type domain-containing protein	SO:0001217, UniRef:UniRef50_N2JU13
contig_111	cds	201929	202945	-	COBAOO_01055		DUF2804 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A024HL98
contig_111	cds	203096	204259	-	COBAOO_01060		GGDEF domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0D6SHP6
contig_111	cds	204354	206492	-	COBAOO_01065		DNA helicase	SO:0001217, UniRef:UniRef50_Q4KGC8
contig_111	cds	206576	206926	-	COBAOO_01070	htpB	two-component system sensor histidine kinase HtpB	BlastRules:WP_003109305, SO:0001217, UniRef:UniRef50_A0A5E6TAB1
contig_111	cds	206992	208707	-	COBAOO_01075	hsbR	two-component system response regulator HsbR	BlastRules:WP_003098751, SO:0001217, UniRef:UniRef50_A0A8H2RSJ1
contig_111	cds	208709	209014	-	COBAOO_01080	hsbA	anti-anti sigma factor HsbA	BlastRules:WP_003091727, SO:0001217, UniRef:UniRef50_A0A661G7P2
