# Annotated with Bakta
# Software: v1.11.3
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_111	cds	14380	15009	-	MDNEJI_00031		Threonylcarbamoyl-AMP synthase	SO:0001217, UniRef:UniRef50_A0A161HVR8
contig_111	cds	15006	15893	-	MDNEJI_00032		Error-prone DNA polymerase	SO:0001217, UniRef:UniRef50_A0A109KS37
contig_111	cds	16109	16696	+	MDNEJI_00033	yciB	Inner membrane-spanning protein YciB	SO:0001217, UniRef:UniRef50_Q9HZ39
contig_111	cds	16698	16997	+	MDNEJI_00034		YCII-related domain-containing protein	SO:0001217, UniRef:UniRef50_Q6LP86
contig_111	cds	17176	17541	+	MDNEJI_00035		hypothetical protein	
contig_111	cds	17552	18229	+	MDNEJI_00036		Two component transcriptional regulator, winged helix family	SO:0001217, UniRef:UniRef50_A0A2K8L5D2
contig_111	cds	18358	18798	+	MDNEJI_00037		hypothetical protein	
contig_111	cds	18913	20250	+	MDNEJI_00038		histidine kinase	SO:0001217, UniRef:UniRef50_Q9HZ34
contig_111	cds	20294	20770	+	MDNEJI_00039		hypothetical protein	
contig_111	cds	20751	21311	-	MDNEJI_00040		Putative NAD(P)H nitroreductase	SO:0001217, UniRef:UniRef50_W9VAH4
contig_111	cds	21376	21747	-	MDNEJI_00041		Zinc-or iron-chelating domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1H2NAT3
contig_111	cds	21905	23359	+	MDNEJI_00042		Trk system potassium uptake protein	SO:0001217, UniRef:UniRef50_A0A0B7D8C0
contig_111	cds	23426	24571	+	MDNEJI_00043	mlaE	Intermembrane phospholipid transport system permease protein MlaE	SO:0001217, UniRef:UniRef50_A0AAJ5N7Z0
contig_111	cds	24568	25362	+	MDNEJI_00044		ABC transporter domain-containing protein	SO:0001217, UniRef:UniRef50_K8PDE3
contig_111	cds	25364	26302	+	MDNEJI_00045		Mce/MlaD domain-containing protein	SO:0001217, UniRef:UniRef50_Q9HZ27
contig_111	cds	26299	26931	+	MDNEJI_00046		ABC-type transport auxiliary lipoprotein component domain-containing protein	SO:0001217, UniRef:UniRef50_S6BKM3
contig_111	cds	26954	27949	-	MDNEJI_00047		HTH araC/xylS-type domain-containing protein	SO:0001217, UniRef:UniRef50_A0A7U7IC25
contig_111	cds	28110	28427	+	MDNEJI_00048		DUF962 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1N7K8S7
contig_111	cds	28697	30037	+	MDNEJI_00049	cyaB	CyaB	SO:0001217, UniRef:UniRef50_Q9HZ23
contig_111	cds	30027	31082	-	MDNEJI_00050		Glycosyltransferase family 1 protein	SO:0001217, UniRef:UniRef50_A0A061CUV5
contig_111	cds	31079	31891	-	MDNEJI_00051		MPP_YbbF-LpxH domain containing protein	SO:0001217, UniRef:UniRef50_A0A6J5LG18
contig_111	cds	32038	32802	+	MDNEJI_00052	araC	Transcriptional regulator, AraC family	SO:0001217, UniRef:UniRef50_Q4KGC3
contig_111	cds	32867	33202	+	MDNEJI_00053		Secretion chaperone	SO:0001217, UniRef:UniRef50_A0A024HKK1
contig_111	cds	33212	34105	+	MDNEJI_00054	eamA	EamA domain-containing protein	SO:0001217, UniRef:UniRef50_Q1I6V7
contig_111	cds	34185	35138	-	MDNEJI_00055		HTH-type transcriptional repressor PA14_22550	SO:0001217, UniRef:UniRef50_A0A0H2ZDG9
contig_111	cds	35240	35794	+	MDNEJI_00056	fldP	Flavodoxin FldP	SO:0001217, UniRef:UniRef50_A0A0H2ZDT7
contig_111	cds	35870	36487	+	MDNEJI_00057		Glutathione S-transferase	SO:0001217, UniRef:UniRef50_A0A430HF85
contig_111	cds	36945	37472	+	MDNEJI_00058		hypothetical protein	
contig_111	cds	37584	37970	+	MDNEJI_00059		Glycine cleavage system H protein	SO:0001217, UniRef:UniRef50_A0A916IDX5
contig_111	cds	38055	38798	+	MDNEJI_00060		Protein-disulfide isomerase	SO:0001217, UniRef:UniRef50_A0A087L584
contig_111	cds	39053	39694	-	MDNEJI_00061	azoR3	FMN-dependent NADH-azoreductase AzoR3	BlastRules:WP_003114814, EC:1.7.1.17, SO:0001217, UniRef:UniRef50_Q9HZ17
contig_111	cds	39841	40158	-	MDNEJI_00062		3-phosphoglycerate kinase	SO:0001217, UniRef:UniRef50_Q9HZ16
contig_111	cds	40358	41287	+	MDNEJI_00063	yhaJ	HTH-type transcriptional regulator YhaJ	SO:0001217, UniRef:UniRef50_A0A423P109
contig_111	cds	41294	42121	+	MDNEJI_00064		AB hydrolase-1 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A8S0GX04
contig_111	cds	42103	42666	+	MDNEJI_00065		Peptidyl-prolyl cis-trans isomerase A	SO:0001217, UniRef:UniRef50_P0AFL3
contig_111	cds	42729	44561	+	MDNEJI_00066		ABC-type xenobiotic transporter	SO:0001217, UniRef:UniRef50_A0A0U5KZ58
contig_111	cds	44843	45109	+	MDNEJI_00067		DUF2790 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A024HK47
contig_111	cds	45142	46266	-	MDNEJI_00068		Acyl-CoA N-acyltransferase	SO:0001217, UniRef:UniRef50_A0A0Q0AC34
contig_111	cds	46542	46700	-	MDNEJI_00069		DUF3309 domain-containing protein	SO:0001217, UniRef:UniRef50_Q9HZ09
contig_111	cds	46809	47435	-	MDNEJI_00070		Exonuclease domain-containing protein	SO:0001217, UniRef:UniRef50_N2JCC3
contig_111	cds	47432	49231	-	MDNEJI_00071		Cyclic nucleotide-binding/CBS domain-containing protein	SO:0001217, UniRef:UniRef50_Q9HZ07
contig_111	cds	49321	50976	-	MDNEJI_00072	actP	Cation/acetate symporter ActP	SO:0001217, UniRef:UniRef50_P32705
contig_111	cds	50973	51284	-	MDNEJI_00073		DUF485 domain-containing protein	SO:0001217, UniRef:UniRef50_K2K1S2
contig_111	cds	51502	52359	-	MDNEJI_00074	betX	Choline / betaine / carnitine ABC transporter-substrate binding protein BetX	SO:0001217, UniRef:UniRef50_Q88M34
contig_111	cds	52652	52873	+	MDNEJI_00075		hypothetical protein	
contig_111	cds	53016	54377	+	MDNEJI_00076		Serine/threonine protein kinase	SO:0001217, UniRef:UniRef50_A0A0C5DTW9
contig_111	cds	54381	55184	+	MDNEJI_00077	vacJ	VacJ family lipoprotein	SO:0001217, UniRef:UniRef50_Q9HZ01
contig_111	cds	55324	55587	+	MDNEJI_00078		hypothetical protein	
contig_111	cds	55618	57195	+	MDNEJI_00079		Recombinase family protein	SO:0001217, UniRef:UniRef50_A0AAQ3R3A8
contig_111	cds	58090	58440	+	MDNEJI_00080		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A0H2ZDI7
contig_111	cds	58473	59099	+	MDNEJI_00081		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A0H2ZDW1
contig_111	cds	59400	59636	-	MDNEJI_00082		hypothetical protein	
contig_111	cds	60028	60219	+	MDNEJI_00083		hypothetical protein	
contig_111	cds	60232	60570	+	MDNEJI_00084		hypothetical protein	SO:0001217, UniRef:UniRef50_UPI00071BF10E
contig_111	cds	60598	60798	+	MDNEJI_00085		hypothetical protein	
contig_111	cds	60798	60983	+	MDNEJI_00086		hypothetical protein	
contig_111	cds	60985	61320	+	MDNEJI_00087		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A0H2ZDJ1
contig_111	cds	61390	61776	+	MDNEJI_00088		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A0H2ZDW6
contig_111	cds	62029	62535	+	MDNEJI_00089		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A0H2ZDU2
contig_111	cds	63070	63870	+	MDNEJI_00090		Dit-like phage tail protein N-terminal domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0H2ZCI3
contig_111	cds	64840	65508	+	MDNEJI_00091		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A0H2ZDJ5
contig_111	cds	65524	67848	+	MDNEJI_00092		Tape measure protein N-terminal domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0H2ZDX2
contig_111	cds	68471	69430	+	MDNEJI_00093		Phage protein D	SO:0001217, UniRef:UniRef50_A0A0H2ZDR6
contig_111	cds	69587	70312	+	MDNEJI_00094		Phage protein Gp138 N-terminal domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0H2ZDU7
contig_111	cds	70910	71332	+	MDNEJI_00095		phage baseplate plug protein	SO:0001217, UniRef:UniRef50_UPI001E3E3781
contig_111	cds	72630	72836	+	MDNEJI_00096		hypothetical protein	
contig_111	cds	72808	73908	+	MDNEJI_00097		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A0H2ZCI8
contig_111	cds	74243	74938	+	MDNEJI_00098		Serine recombinase	SO:0001217, UniRef:UniRef50_A0A1X1A4B2
contig_111	cds	76551	76835	+	MDNEJI_00099		hypothetical protein	
contig_111	cds	77059	77691	+	MDNEJI_00100		hypothetical protein	PFAM:PF05726.19
contig_111	cds	77755	78924	-	MDNEJI_00101		PNPLA domain-containing protein	SO:0001217, UniRef:UniRef50_A0A024HKP3
contig_111	cds	78992	79930	-	MDNEJI_00102		Lipid A biosynthesis acyltransferase	SO:0001217, UniRef:UniRef50_A0A0B3BUF9
contig_111	cds	80090	80881	+	MDNEJI_00103	minC	putative septum site-determining protein MinC	SO:0001217, UniRef:UniRef50_Q88M41
contig_111	cds	80943	81758	+	MDNEJI_00104	minD	Septum site-determining protein MinD	SO:0001217, UniRef:UniRef50_C4K837
contig_111	cds	81755	82009	+	MDNEJI_00105		Cell division topological specificity factor	SO:0001217, UniRef:UniRef50_Q8EE12
contig_111	cds	82113	82748	+	MDNEJI_00106		Pseudouridine synthase	SO:0001217, UniRef:UniRef50_A0A5C6D269
contig_111	cds	82917	84206	+	MDNEJI_00107		putative M18 family aminopeptidase 2	SO:0001217, UniRef:UniRef50_C3K0D7
contig_111	cds	84249	84800	-	MDNEJI_00108		N-acetyltransferase domain-containing protein	SO:0001217, UniRef:UniRef50_Q9HYZ2
contig_111	cds	84866	85582	-	MDNEJI_00109		HTH gntR-type domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3M3DZG6
contig_111	cds	85945	87003	+	MDNEJI_00110		ABC transporter, periplasmic substrate-binding protein	SO:0001217, UniRef:UniRef50_F3GDT6
contig_111	cds	87058	87867	+	MDNEJI_00111		Type I phosphodiesterase/nucleotide pyrophosphatase	SO:0001217, UniRef:UniRef50_A0A0E4HA53
contig_111	cds	87864	88703	+	MDNEJI_00112		ABC transmembrane type-1 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0W8JG47
contig_111	cds	88690	89487	+	MDNEJI_00113		Putative spermidine/putrescine transport system permease protein	SO:0001217, UniRef:UniRef50_A0A1I0FZ56
contig_111	cds	89490	90485	+	MDNEJI_00114		ATP-binding component of an ABC superfamily spermidine/putrescine transporter	SO:0001217, UniRef:UniRef50_A0A085JKE4
contig_111	cds	90485	91135	+	MDNEJI_00115		Phosphoserine phosphatase	SO:0001217, UniRef:UniRef50_A0A085G6Z7
contig_111	cds	91202	92164	-	MDNEJI_00116		Zinc-containing alcohol dehydrogenase	SO:0001217, UniRef:UniRef50_A0A379KDY4
contig_111	cds	92261	94390	+	MDNEJI_00117		Periplasmic tail-specific protease	SO:0001217, UniRef:UniRef50_Q9HYY3
contig_111	cds	94486	96234	+	MDNEJI_00118		Diguanylate cyclase (GGDEF) domain-containing protein	SO:0001217, UniRef:UniRef50_N2JRT7
contig_111	cds	96248	96727	-	MDNEJI_00119		Sel1 repeat family protein	SO:0001217, UniRef:UniRef50_M4X2W8
contig_111	cds	96717	97076	-	MDNEJI_00120		GGDEF domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3D4NMR2
contig_111	cds	97085	97396	-	MDNEJI_00121		HTH cro/C1-type domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2R4KQR0
contig_111	cds	97500	98246	+	MDNEJI_00122		Solute-binding protein family 3/N-terminal domain-containing protein	SO:0001217, UniRef:UniRef50_Q9HYX9
contig_111	cds	98234	98665	-	MDNEJI_00123		DUF1232 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A078LNS3
contig_111	cds	99035	99796	-	MDNEJI_00124		Peptidyl-prolyl cis-trans isomerase	SO:0001217, UniRef:UniRef50_A0A369YZQ3
contig_111	tRNA	100053	100129	-	MDNEJI_00125	trnD	tRNA-Asp(gtc)	SO:0000256
contig_111	tRNA	100146	100221	-	MDNEJI_00126	trnV	tRNA-Val(tac)	SO:0000273
contig_111	cds	100386	101306	+	MDNEJI_00127	rdgC	Recombination-associated protein RdgC	SO:0001217, UniRef:UniRef50_Q88M72
contig_111	cds	101393	102328	+	MDNEJI_00128	yocS	Uncharacterized sodium-dependent transporter YocS	SO:0001217, UniRef:UniRef50_O34524
contig_111	cds	102468	102782	+	MDNEJI_00129		Guanidinium exporter	SO:0001217, UniRef:UniRef50_Q7MZY0
contig_111	cds	102997	103206	+	MDNEJI_00130		Cold-shock protein	SO:0001217, UniRef:UniRef50_A0A099D496
contig_111	cds	103267	105141	-	MDNEJI_00131		Phospholipid/glycerol acyltransferase domain-containing protein	SO:0001217, UniRef:UniRef50_Q9HYX4
contig_111	ncRNA	104368	104492	-	MDNEJI_00132	Bcj11	Burkholderia RNA 11	RFAM:RF02835, SO:0000655
contig_111	cds	105316	107481	-	MDNEJI_00133		Ferric citrate outer membrane transporter KpLE2 phage-like element	SO:0001217, UniRef:UniRef50_Q1LB10
contig_111	cds	107578	108432	-	MDNEJI_00134		HTH araC/xylS-type domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0C5ET26
contig_111	cds	108499	109068	-	MDNEJI_00135		N-acetyltransferase domain-containing protein	SO:0001217, UniRef:UniRef50_Q9HYX1
contig_111	cds	109352	112831	+	MDNEJI_00136		histidine kinase	SO:0001217, UniRef:UniRef50_Q9HYX0
contig_111	cds	112839	117185	-	MDNEJI_00137	cshB	DEAD-box ATP-dependent RNA helicase CshB	SO:0001217, UniRef:UniRef50_A0A5E5R9H6
contig_111	cds	117254	117637	-	MDNEJI_00138		Transcriptional regulator	SO:0001217, UniRef:UniRef50_A0A2R4KS67
contig_111	cds	117804	118091	+	MDNEJI_00139		Secreted protein	SO:0001217, UniRef:UniRef50_Q9HYW7
contig_111	cds	118170	118499	-	MDNEJI_00140		UPF0060 membrane protein CHU_3331	SO:0001217, UniRef:UniRef50_Q11PU6
contig_111	cds	118496	118918	-	MDNEJI_00141		DUF3168 domain-containing protein	SO:0001217, UniRef:UniRef50_F6A915
contig_111	cds	119151	119963	-	MDNEJI_00142		hypothetical protein	PFAM:PF00106.31, PFAM:PF13561.12
contig_111	cds	120088	120387	-	MDNEJI_00143		Transmembrane protein	SO:0001217, UniRef:UniRef50_Q9HYW3
contig_111	cds	120556	121878	-	MDNEJI_00144	oprP	outer membrane porin OprP	BlastRules:WP_003119678, SO:0001217, UniRef:UniRef50_P05695
contig_111	cds	122337	123653	-	MDNEJI_00145	oprO	outer membrane porin OprO	BlastRules:WP_003104423, SO:0001217, UniRef:UniRef50_P05695
contig_111	cds	123900	124490	-	MDNEJI_00146	catD	Oxidoreductase CatD	SO:0001217, UniRef:UniRef50_A0A5S9MQN2
contig_111	cds	124493	125227	-	MDNEJI_00147		DUF2063 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0H2ZDY6
contig_111	cds	125224	126078	-	MDNEJI_00148		UPF0276 protein PA3283	SO:0001217, UniRef:UniRef50_Q9HYW0
contig_111	cds	126097	126411	-	MDNEJI_00149		hypothetical protein	
contig_111	ncRNA	126765	127046	-	MDNEJI_00150	P17	Pseudomonas sRNA P17	RFAM:RF01670, SO:0000655
contig_111	cds	126817	127056	-	MDNEJI_00151		Putative zinc-finger domain-containing protein	SO:0001217, UniRef:UniRef50_S6AYL6
contig_111	cds	127050	127661	-	MDNEJI_00152		RNA polymerase sigma factor	SO:0001217, UniRef:UniRef50_A0A0C5E0Q3
contig_111	cds	127664	128785	-	MDNEJI_00153		Beta-ketoacyl-ACP synthase III	SO:0001217, UniRef:UniRef50_A0A1C2D9K4
contig_111	cds	129276	129791	+	MDNEJI_00154		hypothetical protein	PFAM:PF00023.36, PFAM:PF12796.13, PFAM:PF13606.12, PFAM:PF13637.12, PFAM:PF13857.12
contig_111	cds	129795	130265	-	MDNEJI_00155		Isochorismatase-like domain-containing protein	SO:0001217, UniRef:UniRef50_Q88JT5
contig_111	cds	130378	130791	+	MDNEJI_00156		3-isopropylmalate dehydratase	SO:0001217, UniRef:UniRef50_Q9HYV4
contig_111	cds	130830	132965	-	MDNEJI_00157		Rhs element Vgr protein	SO:0001217, UniRef:UniRef50_A0A1L7G6M3
contig_111	cds	135088	135903	-	MDNEJI_00158		DUF4123 domain-containing protein	SO:0001217, UniRef:UniRef50_Q9HYV0
contig_111	cds	135913	137979	-	MDNEJI_00159	vgrG	Type VI secretion system tip protein VgrG	SO:0001217, UniRef:UniRef50_A0A9X2C7M4
contig_111	cds	138208	138645	-	MDNEJI_00160		Hit-like protein involved in cell-cycle regulation	SO:0001217, UniRef:UniRef50_D4Z6B6
contig_111	cds	138850	140280	+	MDNEJI_00161		Alkaline phosphatase	SO:0001217, UniRef:UniRef50_A0A5P1UTU4
contig_111	cds	140353	144333	-	MDNEJI_00162		RNA helicase	SO:0001217, UniRef:UniRef50_A0A5A9W373
contig_111	cds	144508	144717	-	MDNEJI_00163		Addiction module protein	SO:0001217, UniRef:UniRef50_A6V2C4
contig_111	cds	144837	146525	-	MDNEJI_00164		Long-chain-fatty-acid--CoA ligase	SO:0001217, UniRef:UniRef50_A0A8T9FU99
contig_111	cds	146760	148448	-	MDNEJI_00165		Long-chain-fatty-acid--CoA ligase	SO:0001217, UniRef:UniRef50_A0A8T9FU99
contig_111	cds	148695	149645	+	MDNEJI_00166		Serine aminopeptidase S33 domain-containing protein	SO:0001217, UniRef:UniRef50_Q9HYU2
contig_111	cds	149642	150112	+	MDNEJI_00167		3-hydroxybutyryl-CoA dehydratase	SO:0001217, UniRef:UniRef50_A0A2Z5AGN8
contig_111	cds	150263	151438	+	MDNEJI_00168		Major facilitator superfamily (MFS) profile domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3M5DH72
contig_111	cds	151419	152276	-	MDNEJI_00169		Membrane fusion protein biotin-lipoyl like domain-containing protein	SO:0001217, UniRef:UniRef50_U3AU64
contig_111	cds	152304	152507	-	MDNEJI_00170		DUF1656 domain-containing protein	SO:0001217, UniRef:UniRef50_N2JCC6
contig_111	ncRNA	152349	152483	-	MDNEJI_00171	P18	Pseudomonas sRNA P18	RFAM:RF01671, SO:0000655
contig_111	cds	152494	154488	-	MDNEJI_00172		FUSC family protein	SO:0001217, UniRef:UniRef50_Q9HYT9
contig_111	ncRNA	154635	154847	-	MDNEJI_00173	phrS	PhrS	RFAM:RF01673, SO:0000655
contig_111	cds	154696	154809	-	MDNEJI_00174		ATP-dependent helicase	SO:0001217, UniRef:UniRef50_A0A0C5DXZ5
contig_111	cds	155058	155219	-	MDNEJI_00175		Transcriptional regulator	SO:0001217, UniRef:UniRef50_A0A6S5CUX8
contig_111	cds	155216	155818	-	MDNEJI_00176	alkB	Alkylated DNA repair dioxygenase AlkB	SO:0001217, UniRef:UniRef50_A0A1G5NXM8
contig_111	cds	155872	156180	-	MDNEJI_00177		Aspartate-semialdehyde dehydrogenase	SO:0001217, UniRef:UniRef50_A0A2U2XXU4
contig_111	cds	156422	159268	+	MDNEJI_00178	rapA	RNA polymerase-associated protein RapA	SO:0001217, UniRef:UniRef50_Q9HYT6
contig_111	cds	159551	160006	+	MDNEJI_00179	uspA	UspA domain-containing protein	SO:0001217, UniRef:UniRef50_Q9HYT5
contig_111	cds	160075	161730	-	MDNEJI_00180		Phosphoethanolamine--lipid A transferase	SO:0001217, UniRef:UniRef50_Q9HYT4
contig_111	cds	162062	164242	+	MDNEJI_00181	nbdA	Cyclic di-GMP phosphodiesterase NbdA	SO:0001217, UniRef:UniRef50_Q9HYT3
contig_111	cds	164246	165136	-	MDNEJI_00182		2-hydroxy-3-oxopropionate reductase	SO:0001217, UniRef:UniRef50_U7PAX2
contig_111	cds	165285	166142	+	MDNEJI_00183		Phosphate/phosphite/phosphonate ABC transporter, periplasmic binding family protein	SO:0001217, UniRef:UniRef50_A0A0P8X4H7
contig_111	cds	166139	166942	+	MDNEJI_00184		ABC transporter domain-containing protein	SO:0001217, UniRef:UniRef50_K1JG05
contig_111	cds	166936	167769	+	MDNEJI_00185		ABC transmembrane type-1 domain-containing protein	SO:0001217, UniRef:UniRef50_F4GVJ9
contig_111	cds	167766	168536	+	MDNEJI_00186	phnE	Phosphonate ABC transporter, permease protein PhnE	SO:0001217, UniRef:UniRef50_A0A8E2U4Q4
contig_111	cds	168660	169388	+	MDNEJI_00187		hypothetical protein	
contig_111	cds	169454	169954	+	MDNEJI_00188		Secreted protein	SO:0001217, UniRef:UniRef50_Q9HYS6
contig_111	cds	170012	172090	-	MDNEJI_00189		phospholipase C	SO:0001217, UniRef:UniRef50_A0A411LEE0
contig_111	cds	172321	172776	-	MDNEJI_00190		DMT family transporter	SO:0001217, UniRef:UniRef50_Q9HYS5
contig_111	cds	172865	173779	+	MDNEJI_00191	lysR	LysR family transcriptional regulator	SO:0001217, UniRef:UniRef50_A0A2C9WYV9
contig_111	cds	173787	174599	-	MDNEJI_00192		hypothetical protein	
contig_111	cds	174911	175786	+	MDNEJI_00193		Peptidase M24 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1Y1SBS9
contig_111	cds	175783	177561	+	MDNEJI_00194		NADPH-dependent carbonyl reductase	SO:0001217, UniRef:UniRef50_A0A0H3KWF1
contig_111	cds	177571	178458	+	MDNEJI_00195		Metal-dependent hydrolase	SO:0001217, UniRef:UniRef50_A0A024HLU3
contig_111	cds	178800	179405	-	MDNEJI_00196		ATP-dependent Clp protease proteolytic subunit 2	SO:0001217, UniRef:UniRef50_Q9HYR9
contig_111	cds	179887	186945	+	MDNEJI_00197		non-ribosomal peptide synthetase	SO:0001217, UniRef:UniRef50_UPI001EF8A970
contig_111	cds	186942	188108	+	MDNEJI_00198		FAD-dependent monooxygenase	SO:0001217, UniRef:UniRef50_A0A0W7X9B9
contig_111	cds	188108	189433	+	MDNEJI_00199		Phthiocerol/phthiodiolone dimycocerosyl transferase	SO:0001217, UniRef:UniRef50_A0A427SV27
contig_111	cds	189435	190349	+	MDNEJI_00200		Diacetyl reductase	SO:0001217, UniRef:UniRef50_A0A1D8G959
contig_111	cds	190342	191598	+	MDNEJI_00201		Cytochrome P450	SO:0001217, UniRef:UniRef50_S3ARC2
contig_111	cds	191595	192020	+	MDNEJI_00202		SnoaL-like domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3N1H1P7
contig_111	cds	192024	193016	+	MDNEJI_00203		Beta-ketoacyl-[acyl-carrier-protein] synthase III	SO:0001217, UniRef:UniRef50_Q9HYR2
contig_111	cds	193030	193269	+	MDNEJI_00204		hypothetical protein	PFAM:PF00550.31
contig_111	cds	193399	194139	+	MDNEJI_00205		Class I SAM-dependent methyltransferase	SO:0001217, UniRef:UniRef50_A0A0T6GD42
contig_111	cds	194231	195397	+	MDNEJI_00206		MFS transporter	SO:0001217, UniRef:UniRef50_A0A0M0TE68
contig_111	cds	195408	196400	-	MDNEJI_00207		ADP-L-glycero-D-manno-heptose-6-epimerase	SO:0001217, UniRef:UniRef50_A1VR25
contig_111	cds	196496	196786	-	MDNEJI_00208		Selenoprotein W-related protein	SO:0001217, UniRef:UniRef50_L0WF96
contig_111	cds	196855	199041	+	MDNEJI_00209	plpD	patatin-like phospholipase PlpD	BlastRules:WP_003113139, SO:0001217, UniRef:UniRef50_Q9HYQ6
contig_111	cds	199049	201100	-	MDNEJI_00210	fimV	Pilus assembly protein FimV	SO:0001217, UniRef:UniRef50_Q9HYQ5
contig_111	cds	201377	201811	-	MDNEJI_00211		HTH marR-type domain-containing protein	SO:0001217, UniRef:UniRef50_N2JU13
contig_111	cds	201929	202945	-	MDNEJI_00212		DUF2804 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A024HL98
contig_111	cds	203096	204259	-	MDNEJI_00213		diguanylate cyclase	SO:0001217, UniRef:UniRef50_Q9HYQ2
