# Annotated with Bakta
# Software: v1.11.3
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_111	cds	175783	177561	+	MDNEJI_00194	596.0	5.3e-207	1.0	0.958	0.519	UniRef:UniRef50_A0A0H3KWF1
contig_111	cds	177571	178458	+	MDNEJI_00195	348.0	4.4e-119	0.973	0.941	0.592	UniRef:UniRef50_A0A024HLU3
contig_111	cds	178800	179405	-	MDNEJI_00196	241.0	3.2e-79	1.129	0.946	0.568	UniRef:UniRef50_Q9HYR9
contig_111	cds	179887	186945	+	MDNEJI_00197	1729.0	0.0	0.838	1.003	0.503	UniRef:UniRef50_UPI001EF8A970
contig_111	cds	186942	188108	+	MDNEJI_00198	371.0	8.4e-125	0.982	0.920	0.507	UniRef:UniRef50_A0A0W7X9B9
contig_111	cds	188108	189433	+	MDNEJI_00199	828.0	3.8e-303	1.109	0.998	0.881	UniRef:UniRef50_A0A427SV27
contig_111	cds	189435	190349	+	MDNEJI_00200	309.0	4.2e-103	0.974	0.897	0.568	UniRef:UniRef50_A0A1D8G959
contig_111	cds	190342	191598	+	MDNEJI_00201	419.0	7.2e-143	0.957	0.909	0.548	UniRef:UniRef50_S3ARC2
contig_111	cds	191595	192020	+	MDNEJI_00202	298.0	4.5e-104	1.0	0.865	1.0	UniRef:UniRef50_A0A3N1H1P7
contig_111	cds	192024	193016	+	MDNEJI_00203	310.0	5.3e-102	1.006	0.804	0.527	UniRef:UniRef50_Q9HYR2
contig_111	cds	193030	193269	+	MDNEJI_00204	-	-	-	-	-	-
contig_111	cds	193399	194139	+	MDNEJI_00205	481.0	1.2e-172	1.0	0.911	0.996	UniRef:UniRef50_A0A0T6GD42
contig_111	cds	194231	195397	+	MDNEJI_00206	356.0	1.2e-118	0.972	0.873	0.554	UniRef:UniRef50_A0A0M0TE68
contig_111	cds	195408	196400	-	MDNEJI_00207	380.0	5.6e-130	0.936	0.856	0.602	UniRef:UniRef50_A1VR25
contig_111	cds	196496	196786	-	MDNEJI_00208	112.0	5.3e-32	1.0	0.873	0.583	UniRef:UniRef50_L0WF96
contig_111	cds	196855	199041	+	MDNEJI_00209	1063.0	0.0	1.001	0.979	0.735	UniRef:UniRef50_Q9HYQ6
contig_111	cds	199049	201100	-	MDNEJI_00210	1075.0	0.0	1.075	1.001	0.888	UniRef:UniRef50_Q9HYQ5
contig_111	cds	201377	201811	-	MDNEJI_00211	177.0	5.1e-56	0.993	0.935	0.657	UniRef:UniRef50_N2JU13
contig_111	cds	201929	202945	-	MDNEJI_00212	510.0	2.0e-181	1.027	1.0	0.680	UniRef:UniRef50_A0A024HL98
contig_111	cds	203096	204259	-	MDNEJI_00213	445.0	3.5e-153	0.987	0.825	0.634	UniRef:UniRef50_Q9HYQ2
contig_111	cds	204354	206492	-	MDNEJI_00214	1142.0	0.0	0.999	0.844	0.806	UniRef:UniRef50_Q9HYQ1
contig_111	cds	206576	206926	-	MDNEJI_00215	207.0	9.3e-69	1.181	1.0	0.847	UniRef:UniRef50_Q9HYQ0
contig_111	cds	206992	208707	-	MDNEJI_00216	739.0	7.8e-264	0.982	0.930	0.672	UniRef:UniRef50_A0A3G7TLS3
contig_111	cds	208709	209014	-	MDNEJI_00217	127.0	6.1e-38	1.0	0.981	0.624	UniRef:UniRef50_A0A9X0EHN2
