Product_normalized	OriginalProducts	Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	DbXrefs
16s ribosomal rna	16S ribosomal RNA	contig_1	rRNA	5207915;5820643;6610178;715011	5209450;5822178;6611713;716546	+;-	OIFKLK_00678;OIFKLK_04912;OIFKLK_05492;OIFKLK_06216	rrs	GO:0003735, GO:0005840, KEGG:K01977, RFAM:RF00177, SO:0001000
1h-pyrrole-2-carbonyl-peptidyl-carrier protein chlorinase	1H-pyrrole-2-carbonyl-[peptidyl-carrier protein] chlorinase	contig_1	cds	2576551	2577900	+	OIFKLK_02513		SO:0001217, UniRef:UniRef50_Q4KCZ0
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	contig_1	cds	5863639;648203	5864127;648745	+	OIFKLK_00608;OIFKLK_05535		SO:0001217, UniRef:UniRef50_A0AA41WJZ7;SO:0001217, UniRef:UniRef50_Q9HV71
2-aminobenzoylacetyl-coa thioesterase pqse	2-aminobenzoylacetyl-CoA thioesterase PqsE	contig_1	cds	4684175	4685080	-	OIFKLK_04401	pqsE	BlastRules:WP_003086247, EC:3.1.2.32
2-aminoethylphosphonate--pyruvate transaminase	2-aminoethylphosphonate--pyruvate transaminase	contig_1	cds	4191444	4192559	-	OIFKLK_03933		SO:0001217, UniRef:UniRef50_Q9I434
2-c-methyl-d-erythritol 24-cyclodiphosphate synthase	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	contig_1	cds	1420952	1421425	+	OIFKLK_01373		SO:0001217, UniRef:UniRef50_Q5NFU1
2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	contig_1	cds	1415543	1416247	+	OIFKLK_01367		SO:0001217, UniRef:UniRef50_P57707
2-chlorobenzoate 12-dioxygenase alpha subunit	2-chlorobenzoate 1,2-dioxygenase, alpha subunit	contig_1	cds	2823126	2824493	+	OIFKLK_02732		SO:0001217, UniRef:UniRef50_A0A377X2A4
2-dehydro-3-deoxy-d-gluconate 5-dehydrogenase	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase	contig_1	cds	3288617	3289384	-	OIFKLK_03092		SO:0001217, UniRef:UniRef50_A0A0F7Y8X3
2-dehydro-3-deoxy-phosphogluconate aldolase	2-dehydro-3-deoxy-phosphogluconate aldolase	contig_1	cds	1897203;1948119	1897865;1948766	+	OIFKLK_01822;OIFKLK_01869		SO:0001217, UniRef:UniRef50_A0A653V8Y7;SO:0001217, UniRef:UniRef50_P00885
2-dehydro-3-deoxygluconokinase	2-dehydro-3-deoxygluconokinase	contig_1	cds	3170366	3171316	-	OIFKLK_02986		SO:0001217, UniRef:UniRef50_A0AAE6V308
2-dehydro-3-deoxyphosphooctonate aldolase	2-dehydro-3-deoxyphosphooctonate aldolase	contig_1	cds	1412994	1413839	+	OIFKLK_01364		SO:0001217, UniRef:UniRef50_C5B817
2-dehydropantoate 2-reductase	2-dehydropantoate 2-reductase	contig_1	cds	3835193;5342920	3836140;5343831	+;-	OIFKLK_03578;OIFKLK_05032		SO:0001217, UniRef:UniRef50_A0A653MYX2;SO:0001217, UniRef:UniRef50_Q883S4
2-deoxy-d-gluconate 3-dehydrogenase	2-deoxy-D-gluconate 3-dehydrogenase	contig_1	cds	858944	859669	-	OIFKLK_00827		SO:0001217, UniRef:UniRef50_A0A0H3KSJ9
2-heptyl-3-hydroxy-41h-quinolone synthase	2-heptyl-3-hydroxy-4(1H)-quinolone synthase	contig_1	cds	2612104	2613252	+	OIFKLK_02534	pqsH	BlastRules:WP_003119987, EC:1.14.13.182, SO:0001217, UniRef:UniRef50_Q02N79
2-heptyl-41h-quinolone synthase subunit pqsb	2-heptyl-4(1H)-quinolone synthase subunit PqsB	contig_1	cds	4687169	4688020	-	OIFKLK_04404	pqsB	SO:0001217, UniRef:UniRef50_Q9I4X2
2-heptyl-41h-quinolone synthase subunit pqsc	2-heptyl-4(1H)-quinolone synthase subunit PqsC	contig_1	cds	4686130	4687176	-	OIFKLK_04403	pqsC	SO:0001217, UniRef:UniRef50_Q9I4X1
2-hydoxy-3-oxopropionate reductase glxr	2-hydoxy-3-oxopropionate reductase GlxR	contig_1	cds	4231975	4232865	+	OIFKLK_03971	glxR	SO:0001217, UniRef:UniRef50_A0A0B6RTV4
2-hydroxy-3-oxopropionate reductase	2-hydroxy-3-oxopropionate reductase	contig_1	cds	1753014;3318733	1753904;3319608	+;-	OIFKLK_01677;OIFKLK_03118		SO:0001217, UniRef:UniRef50_A0A0D6HRR5;SO:0001217, UniRef:UniRef50_U7PAX2
2-hydroxy-6-oxo-6-2'-aminophenylhexa-2 4-dienoic acid hydrolase	2-hydroxy-6-oxo-6-(2'-aminophenyl)hexa-2, 4-dienoic acid hydrolase	contig_1	cds	1622255	1623151	+	OIFKLK_01555		SO:0001217, UniRef:UniRef50_A0A5E7U946
2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase	2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase	contig_1	cds	4854435	4855376	-	OIFKLK_04571		SO:0001217, UniRef:UniRef50_A0A5P9CC05
2-hydroxychromene-2-carboxylate isomerase	2-hydroxychromene-2-carboxylate isomerase	contig_1	cds	143152	143739	+	OIFKLK_00126		SO:0001217, UniRef:UniRef50_A0A2S6RVT3
2-iminobutanoate/2-iminopropanoate deaminase	2-iminobutanoate/2-iminopropanoate deaminase	contig_1	cds	1954917;6538812	1955294;6539165	+;-	OIFKLK_01877;OIFKLK_06145		SO:0001217, UniRef:UniRef50_A0A0B7DKA6;SO:0001217, UniRef:UniRef50_A0A5E6ZJY3
2-isopropylmalate synthase	2-isopropylmalate synthase	contig_1	cds	1181495;4445721	1183165;4447088	+;-	OIFKLK_01137;OIFKLK_04168		SO:0001217, UniRef:UniRef50_Q9HXK5;SO:0001217, UniRef:UniRef50_S3N1E7
2-keto-3-deoxy-l-lyxonate dehydratase	2-keto-3-deoxy-L-lyxonate dehydratase	contig_1	cds	3300069	3301064	-	OIFKLK_03101		BlastRules:WP_084929481, EC:4.2.1.43, SO:0001217, UniRef:UniRef50_W8X553
2-ketoarginine d	putative 2-ketoarginine decarboxylase AruI	contig_1	cds	6138807	6140417	-	OIFKLK_05795	aruI	SO:0001217, UniRef:UniRef50_Q9HUI8
2-methylaconitate cis-trans isomerase prpf	2-methylaconitate cis-trans isomerase PrpF	contig_1	cds	4938391	4939578	+	OIFKLK_04645	prpF	SO:0001217, UniRef:UniRef50_Q1N892
2-methylcitrate dehydratase	2-methylcitrate dehydratase	contig_1	cds	4939713	4941197	+	OIFKLK_04646		SO:0001217, UniRef:UniRef50_P74840
2-methylcitrate dehydratase 2-methyl-trans-aconitate forming	2-methylcitrate dehydratase (2-methyl-trans-aconitate forming)	contig_1	cds	4935666	4938272	+	OIFKLK_04644		SO:0001217, UniRef:UniRef50_Q8EJW3
2-methylcitrate synthase	2-methylcitrate synthase	contig_1	cds	4934408	4935535	+	OIFKLK_04643		SO:0001217, UniRef:UniRef50_Q8EJW2
2-methylisocitrate lyase	2-methylisocitrate lyase	contig_1	cds	4933419	4934315	+	OIFKLK_04642		SO:0001217, UniRef:UniRef50_Q8EJW1
2-nitropropane dioxygenase	2-nitropropane dioxygenase	contig_1	cds	4657149;706194	4658135;707162	-	OIFKLK_00669;OIFKLK_04374		SO:0001217, UniRef:UniRef50_A0A0N9XHW0;SO:0001217, UniRef:UniRef50_A1KC81
2-octaprenyl-3-methyl-6-methoxy-14-benzoquinol hydroxylase	2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase	contig_1	cds	6445662	6446879	-	OIFKLK_06060		SO:0001217, UniRef:UniRef50_A0A089YTV2
2-octaprenyl-6-methoxyphenyl hydroxylase	2-octaprenyl-6-methoxyphenyl hydroxylase	contig_1	cds	6447395	6448579	-	OIFKLK_06062		SO:0001217, UniRef:UniRef50_A0A974RW14
2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline d	2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase	contig_1	cds	4213293	4213808	+	OIFKLK_03955		SO:0001217, UniRef:UniRef50_A0A379KLF4
2-oxo-carboxylic acid reductase glyoxalate reductase 2-ketoaldonate reductase	2-oxo-carboxylic acid reductase (Glyoxalate reductase) (2-ketoaldonate reductase)	contig_1	cds	3167991	3168977	-	OIFKLK_02984		SO:0001217, UniRef:UniRef50_A0AAQ1P7G9
2-oxoglutarate dehydrogenase e1 component	2-oxoglutarate dehydrogenase E1 component	contig_1	cds	4001542	4004373	-	OIFKLK_03749		SO:0001217, UniRef:UniRef50_P20707
2-oxoglutarate-dependent ethylene/succinate-forming enzyme	2-oxoglutarate-dependent ethylene/succinate-forming enzyme	contig_1	cds	172265	173227	+	OIFKLK_00155		SO:0001217, UniRef:UniRef50_A0A0P9QX70
2-oxoisovalerate dehydrogenase subunit alpha	2-oxoisovalerate dehydrogenase subunit alpha	contig_1	cds	3186584	3187816	-	OIFKLK_03000		SO:0001217, UniRef:UniRef50_P09060
2-polyprenyl-6-hydroxyphenyl methylase/3-demethylubiquinone-9 3-methyltransferase	2-polyprenyl-6-hydroxyphenyl methylase/3-demethylubiquinone-9 3-methyltransferase	contig_1	cds	2379096	2379575	-	OIFKLK_02310		SO:0001217, UniRef:UniRef50_A0A7X6J6G1
2-succinyl-6-hydroxy-2 4-cyclohexadiene-1-carboxylate synthase	2-succinyl-6-hydroxy-2, 4-cyclohexadiene-1-carboxylate synthase	contig_1	cds	3962411	3963271	-	OIFKLK_03712		SO:0001217, UniRef:UniRef50_A0A5E6V9J2
23-bisphosphoglycerate-independent phosphoglycerate mutase	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	contig_1	cds	6330841	6332388	+	OIFKLK_05954		SO:0001217, UniRef:UniRef50_Q83BH2
23-dehydroadipyl-coa hydratase	2,3-dehydroadipyl-CoA hydratase	contig_1	cds	2264436;5274365	2265290;5275138	-	OIFKLK_02171;OIFKLK_04963		SO:0001217, UniRef:UniRef50_A0A119A310;SO:0001217, UniRef:UniRef50_A0A5B7ULI3
2345-tetrahydropyridine-26-dicarboxylate n-succinyltransferase	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	contig_1	cds	1335162	1336196	-	OIFKLK_01271		SO:0001217, UniRef:UniRef50_Q6AA30
23s ribosomal rna	23S ribosomal RNA	contig_1	rRNA	5204553;5817281;6606816;717018	5207443;5820171;6609706;719908	+;-	OIFKLK_00681;OIFKLK_04909;OIFKLK_05489;OIFKLK_06213	rrl	GO:0003735, GO:0005840, KEGG:K01980, RFAM:RF02541, SO:0001001
23s rrna guanine745-n1-methyltransferase	23S rRNA (Guanine(745)-N(1))-methyltransferase	contig_1	cds	4505941	4506744	+	OIFKLK_04224		SO:0001217, UniRef:UniRef50_A0A5E7C527
23s rrna guanosine-2'-o--methyltransferase rlmb	23S rRNA (guanosine-2'-O-)-methyltransferase RlmB	contig_1	cds	6089199	6089945	-	OIFKLK_05752	rlmB	SO:0001217, UniRef:UniRef50_Q8ZIV4
23s rrna uracil1939-c5-methyltransferase rlmd	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD	contig_1	cds	4736092	4737444	-	OIFKLK_04460	rlmD	SO:0001217, UniRef:UniRef50_Q88MB9
24-dienoyl-coa reductase nadh and fmn-linked	2,4-dienoyl-CoA reductase, NADH and FMN-linked	contig_1	cds	1988355	1990394	+	OIFKLK_01911		SO:0001217, UniRef:UniRef50_H3RAB2
2fe-2s ferredoxin	2Fe-2S ferredoxin	contig_1	cds	1166392	1166730	+	OIFKLK_01120		SO:0001217, UniRef:UniRef50_P0A9R4
2fe-2s ferredoxin-type domain-containing protein	2Fe-2S ferredoxin-type domain-containing protein	contig_1	cds	3675025;5275203;5699100	3675486;5276129;5699639	+;-	OIFKLK_03437;OIFKLK_04964;OIFKLK_05388		SO:0001217, UniRef:UniRef50_A0A024HNF8;SO:0001217, UniRef:UniRef50_A0A2E7LHN0;SO:0001217, UniRef:UniRef50_A0AAP8N7D6
2fe-2s-binding protein	(2Fe-2S)-binding protein	contig_1	cds	4391654	4391890	+	OIFKLK_04119		SO:0001217, UniRef:UniRef50_A0A9Q6N9C0
3'-phosphate/5'-hydroxy nucleic acid ligase	3'-phosphate/5'-hydroxy nucleic acid ligase	contig_1	cds	5652820;6726520	5654034;6727659	+;-	OIFKLK_05349;OIFKLK_06321		SO:0001217, UniRef:UniRef50_A0A3S4JXQ7;SO:0001217, UniRef:UniRef50_A0A5E7DVA3
3'2'5'-bisphosphate nucleotidase cysq	3'(2'),5'-bisphosphate nucleotidase CysQ	contig_1	cds	6394993	6395814	-	OIFKLK_06012	cysQ	SO:0001217, UniRef:UniRef50_T0QUZ5
3'5'-cyclic adenosine monophosphate phosphodiesterase cpda	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA	contig_1	cds	6129914	6130732	-	OIFKLK_05787	cpdA	SO:0001217, UniRef:UniRef50_D4P095
3-2 kda protein	3-2 kDa protein	contig_1	cds	5141043;5789566	5141135;5789658	-	OIFKLK_04853;OIFKLK_05463		SO:0001217, UniRef:UniRef50_P25137
3-3-hydroxy-phenylpropionate/3-hydroxycinnamic acid hydroxylase mhpa	3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase MhpA	contig_1	cds	3250853	3252442	+	OIFKLK_03062	mhpA	SO:0001217, UniRef:UniRef50_F8GWK6
3-3-hydroxyd	3-(3-hydroxydecanoyloxy)decanoate synthase	contig_1	cds	1570042	1570929	+	OIFKLK_01505	rhlA	BlastRules:WP_003113897, EC:2.3.1.-, SO:0001217, UniRef:UniRef50_Q51559
3-alpha-hydroxycholanate dehydrogenase nadp+	3-alpha-hydroxycholanate dehydrogenase (NADP(+))	contig_1	cds	5581309	5582085	-	OIFKLK_05273		SO:0001217, UniRef:UniRef50_A0A853T4D8
3-alpha7-alpha 12-alpha-trihydroxy-5-beta-cholest-24-enoyl-coa hydratase	3-alpha,7-alpha, 12-alpha-trihydroxy-5-beta-cholest-24-enoyl-CoA hydratase	contig_1	cds	4664090	4664956	-	OIFKLK_04381		SO:0001217, UniRef:UniRef50_A0A0H2Z7L9
3-beta hydroxysteroid dehydrogenase/isomerase domain-containing protein	3-beta hydroxysteroid dehydrogenase/isomerase domain-containing protein	contig_1	cds	5304993	5305982	-	OIFKLK_04995		SO:0001217, UniRef:UniRef50_A0A3M5DSG6
3-carboxy-ciscis-muconate cycloisomerase	3-carboxy-cis,cis-muconate cycloisomerase	contig_1	cds	264912	266291	+	OIFKLK_00239		SO:0001217, UniRef:UniRef50_P32427
3-dehydro-bile acid delta46-reductase	3-dehydro-bile acid delta(4,6)-reductase	contig_1	cds	1008173	1009414	-	OIFKLK_00976		SO:0001217, UniRef:UniRef50_A0A6J5ECD8
3-dehydrocarnitineacetyl-coa trimethylamine transferase	3-dehydrocarnitine:acetyl-CoA trimethylamine transferase	contig_1	cds	6631868	6632752	-	OIFKLK_06234		SO:0001217, UniRef:UniRef50_Q9HTH7
3-dehydroquinate dehydratase	3-dehydroquinate dehydratase	contig_1	cds	5993341	5993784	+	OIFKLK_05661		SO:0001217, UniRef:UniRef50_B1KR25
3-dehydroquinate dehydratase 2	3-dehydroquinate dehydratase 2	contig_1	cds	282309	282755	-	OIFKLK_00255		SO:0001217, UniRef:UniRef50_Q8U7B8
3-dehydroquinate synthase	3-dehydroquinate synthase	contig_1	cds	6227598	6228704	-	OIFKLK_05859		SO:0001217, UniRef:UniRef50_P34002
3-dehydroshikimate dehydratase	3-dehydroshikimate dehydratase	contig_1	cds	278753	280657	+	OIFKLK_00252		SO:0001217, UniRef:UniRef50_Q88JU3
3-demethoxyubiquinol 3-hydroxylase	3-demethoxyubiquinol 3-hydroxylase	contig_1	cds	701450	702097	-	OIFKLK_00664		SO:0001217, UniRef:UniRef50_Q9I5R6
3-demethylubiquinone-9 3-methyltransferase	3-demethylubiquinone-9 3-methyltransferase	contig_1	cds	2457715;4141867	2458524;4142265	+;-	OIFKLK_02384;OIFKLK_03884		SO:0001217, UniRef:UniRef50_A0A2X2WUG7;SO:0001217, UniRef:UniRef50_H6RK54
3-deoxy-7-phosphoheptulonate synthase	3-deoxy-7-phosphoheptulonate synthase	contig_1	cds	2160554;3836835	2161648;3837911	+;-	OIFKLK_02065;OIFKLK_03580		SO:0001217, UniRef:UniRef50_A0A011P7Q5;SO:0001217, UniRef:UniRef50_A0A0Q0D0W0
3-deoxy-d-manno-octulosonate 8-phosphate phosphatase kdsc	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC	contig_1	cds	5406170	5406709	+	OIFKLK_05096	kdsC	SO:0001217, UniRef:UniRef50_Q88P96
3-deoxy-d-manno-octulosonic acid kinase	3-deoxy-D-manno-octulosonic acid kinase	contig_1	cds	6178474	6179952	-	OIFKLK_05826		SO:0001217, UniRef:UniRef50_A0A5E6W4N8
3-deoxy-d-manno-octulosonic-acid kdo transferase	3-deoxy-D-manno-octulosonic-acid (KDO) transferase	contig_1	cds	6183359	6184426	-	OIFKLK_05831	waaC	SO:0001217, UniRef:UniRef50_B4F130, VFDB:VFC0258, VFDB:VFG000142
3-deoxy-manno-octulosonate cytidylyltransferase	3-deoxy-manno-octulosonate cytidylyltransferase	contig_1	cds	2122684	2123448	+	OIFKLK_02027		SO:0001217, UniRef:UniRef50_Q88LM7
3-guanidinopropionate transport protein	3-guanidinopropionate transport protein	contig_1	cds	331073;4317766	332458;4319157	+	OIFKLK_00302;OIFKLK_04054		SO:0001217, UniRef:UniRef50_Q9I6K3
3-hydroxyacyl-acyl-carrier-protein dehydratase fabz	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ	contig_1	cds	1400453	1400893	+	OIFKLK_01355	fabZ	SO:0001217, UniRef:UniRef50_Q88MG9
3-hydroxyacyl-coa dehydrogenase	3-hydroxyacyl-CoA dehydrogenase	contig_1	cds	1459119;3955965;4658151	1460651;3957494;4659068	+;-	OIFKLK_01411;OIFKLK_03706;OIFKLK_04375		SO:0001217, UniRef:UniRef50_A0A6I6GZF9;SO:0001217, UniRef:UniRef50_K8PU55
3-hydroxyacyl-coa dehydrogenase type-2	3-hydroxyacyl-CoA dehydrogenase type-2	contig_1	cds	2771842	2772609	+	OIFKLK_02693		SO:0001217, UniRef:UniRef50_A0A1K0I8X5
3-hydroxybutyrate dehydrogenase	3-hydroxybutyrate dehydrogenase	contig_1	cds	3532672	3533442	+	OIFKLK_03310	bdhA	BlastRules:WP_003113501, SO:0001217, UniRef:UniRef50_W9B918
3-hydroxybutyryl-coa dehydratase	3-hydroxybutyryl-CoA dehydratase	contig_1	cds	1768033	1768503	-	OIFKLK_01692		SO:0001217, UniRef:UniRef50_A0A2Z5AGN8
3-hydroxyd	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase	contig_1	cds	3975195	3975710	+	OIFKLK_03724		SO:0001217, UniRef:UniRef50_O33877
3-isopropylmalate dehydratase	3-isopropylmalate dehydratase	contig_1	cds	1787357	1787770	-	OIFKLK_01704		SO:0001217, UniRef:UniRef50_Q9HYV4
3-isopropylmalate dehydratase large subunit	3-isopropylmalate dehydratase large subunit	contig_1	cds	1956443	1957867	+	OIFKLK_01879		SO:0001217, UniRef:UniRef50_A1AW36
3-isopropylmalate dehydratase small subunit 2	3-isopropylmalate dehydratase small subunit 2	contig_1	cds	1957879	1958517	+	OIFKLK_01880		SO:0001217, UniRef:UniRef50_Q65V08
3-isopropylmalate dehydrogenase	3-isopropylmalate dehydrogenase	contig_1	cds	1959409	1960491	+	OIFKLK_01882		SO:0001217, UniRef:UniRef50_A0A6J5DY08
3-keto-5-aminohexanoate cleavage protein	3-keto-5-aminohexanoate cleavage protein	contig_1	cds	4917667	4918962	+	OIFKLK_04626		SO:0001217, UniRef:UniRef50_Q9I5C7
3-ketoacyl-acp reductase	3-ketoacyl-ACP reductase	contig_1	cds	3741807;4263011	3742568;4263748	-	OIFKLK_03495;OIFKLK_04002		SO:0001217, UniRef:UniRef50_S4YLE6;SO:0001217, UniRef:UniRef50_W1N2D7
3-ketoacyl-acyl-carrier-protein reductase	3-ketoacyl-(Acyl-carrier-protein) reductase	contig_1	cds	867181	867942	-	OIFKLK_00836		SO:0001217, UniRef:UniRef50_A0A448BY97
3-ketoacyl-coa thiolase	3-ketoacyl-CoA thiolase	contig_1	cds	2086724	2087899	+	OIFKLK_01991		SO:0001217, UniRef:UniRef50_P28790
3-ketoacyl-coa thiolase/ acetyl-coa acetyltransferase	3-ketoacyl-CoA thiolase/ Acetyl-CoA acetyltransferase	contig_1	cds	5925470	5926747	-	OIFKLK_05595		SO:0001217, UniRef:UniRef50_A0A137SDL3
3-mercaptopropionate dioxygenase	3-mercaptopropionate dioxygenase	contig_1	cds	2562408	2563013	-	OIFKLK_02500		BlastRules:WP_003113364, EC:1.13.11.-, SO:0001217, UniRef:UniRef50_A0A1Y6JJA3
3-mercaptopyruvate sulfurtransferase	putative 3-mercaptopyruvate sulfurtransferase	contig_1	cds	4364160	4365014	+	OIFKLK_04092		SO:0001217, UniRef:UniRef50_Q9I452
3-methyl-2-oxobutanoate dehydrogenase 2-methylpropanoyl-transferring	3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring)	contig_1	cds	1637520	1638521	+	OIFKLK_01568		SO:0001217, UniRef:UniRef50_A0A1C3TTH4
3-methyl-2-oxobutanoate hydroxymethyltransferase	3-methyl-2-oxobutanoate hydroxymethyltransferase	contig_1	cds	3987549;5864377	3988370;5865177	+	OIFKLK_03736;OIFKLK_05536		SO:0001217, UniRef:UniRef50_A1US40;SO:0001217, UniRef:UniRef50_Q2SYZ1
3-methyladenine dna glycosylase	Putative 3-methyladenine DNA glycosylase	contig_1	cds	948868	949587	-	OIFKLK_00915		SO:0001217, UniRef:UniRef50_Q9HX17
3-methylmercaptopropionyl-coa dehydrogenase	3-methylmercaptopropionyl-CoA dehydrogenase	contig_1	cds	575003;6199165;6406012	576799;6200967;6407802	+;-	OIFKLK_00530;OIFKLK_05840;OIFKLK_06026		SO:0001217, UniRef:UniRef50_A0A5E6P7M7;SO:0001217, UniRef:UniRef50_A0A5E6TDY9;SO:0001217, UniRef:UniRef50_A0A6T9XY09
3-octaprenyl-4-hydroxybenzoate carboxy-lyase	3-octaprenyl-4-hydroxybenzoate carboxy-lyase	contig_1	cds	6462169	6463635	-	OIFKLK_06078		SO:0001217, UniRef:UniRef50_P0AAB4
3-oxoacyl-acp reductase	3-oxoacyl-ACP reductase	contig_1	cds	2650371;4588924;5334926	2651201;4589691;5335684	+;-	OIFKLK_02565;OIFKLK_04305;OIFKLK_05024		SO:0001217, UniRef:UniRef50_A0A069Q7C3;SO:0001217, UniRef:UniRef50_A0A379K6N9;SO:0001217, UniRef:UniRef50_Q9AGI9
3-oxoacyl-acp reductase rhlg	3-oxoacyl-ACP reductase RhlG	contig_1	cds	1667968	1668738	-	OIFKLK_01598	rhlG	BlastRules:WP_003113116, SO:0001217, UniRef:UniRef50_A0A0D6RVY8
3-oxoacyl-acp synthase	3-oxoacyl-ACP synthase	contig_1	cds	124278	125315	+	OIFKLK_00106		SO:0001217, UniRef:UniRef50_A0A554PBT4
3-oxoacyl-acyl-carrier protein reductase	3-oxoacyl-[acyl-carrier protein] reductase	contig_1	cds	5927002;6785601;854952	5928357;6786383;855704	+	OIFKLK_00824;OIFKLK_05596;OIFKLK_06375		SO:0001217, UniRef:UniRef50_A0A1D7W2B1;SO:0001217, UniRef:UniRef50_A0A3M4Q202;SO:0001217, UniRef:UniRef50_A0A7W7DMA2
