# Annotated with Bakta
# Software: v1.11.3
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	71220	71360	+	OIFKLK_00058	83.2	7.3e-22	1.043	0.960	0.854	UniRef:UniRef50_Q9I782
contig_1	cds	71422	71559	+	OIFKLK_00059	84.7	1.6e-22	1.0	0.957	0.844	UniRef:UniRef50_Q1I8I1
contig_1	cds	72185	74017	+	OIFKLK_00060	898.0	0.0	1.0	0.998	0.713	UniRef:UniRef50_A0A075UWI4
contig_1	cds	74070	74498	-	OIFKLK_00061	293.0	1.1e-101	1.0	0.845	1.0	UniRef:UniRef50_Q9I780
contig_1	cds	74707	75255	-	OIFKLK_00062	214.0	5.1e-69	0.995	0.819	0.591	UniRef:UniRef50_Q9I778
contig_1	cds	75294	75800	-	OIFKLK_00063	203.0	1.6e-65	1.0	0.862	0.625	UniRef:UniRef50_A0A9X0EH52
contig_1	cds	75866	76786	-	OIFKLK_00064	375.0	1.9e-128	0.971	0.832	0.643	UniRef:UniRef50_A0A1P8JW41
contig_1	cds	76894	77781	+	OIFKLK_00065	374.0	2.8e-129	1.0	0.970	0.627	UniRef:UniRef50_A0A2K4XER8
contig_1	cds	77844	78548	+	OIFKLK_00066	260.0	7.0e-86	1.017	0.930	0.588	UniRef:UniRef50_Q9I774
contig_1	cds	78662	79087	+	OIFKLK_00067	179.0	1.0e-56	0.993	0.814	0.636	UniRef:UniRef50_A0A1Q9R9N9
contig_1	cds	79198	79431	+	OIFKLK_00068	64.7	1.2e-13	1.039	0.988	0.513	UniRef:UniRef50_A0A6I1LAG7
contig_1	cds	79443	79880	-	OIFKLK_00069	141.0	6.3e-42	0.952	0.926	0.580	UniRef:UniRef50_Q9I771
contig_1	cds	79937	80353	-	OIFKLK_00070	203.0	8.6e-67	1.022	1.0	0.688	UniRef:UniRef50_N2JFG7
contig_1	cds	80445	81572	+	OIFKLK_00071	409.0	6.1e-140	0.915	0.821	0.624	UniRef:UniRef50_Q1IH11
contig_1	cds	81580	82563	-	OIFKLK_00072	-	-	-	-	-	-
contig_1	cds	82596	83261	-	OIFKLK_00073	226.0	7.3e-73	0.964	0.899	0.516	UniRef:UniRef50_A0AAJ2BL62
contig_1	cds	83254	83796	-	OIFKLK_00074	197.0	1.6e-62	0.972	0.829	0.531	UniRef:UniRef50_D3HKT7
contig_1	cds	83874	85919	+	OIFKLK_00075	1154.0	0.0	0.994	0.883	0.849	UniRef:UniRef50_S6APV2
contig_1	cds	85916	86191	+	OIFKLK_00076	132.0	5.4e-40	1.011	0.929	0.696	UniRef:UniRef50_A0A031MBP4
contig_1	cds	86280	87338	+	OIFKLK_00077	538.0	6.7e-191	1.003	0.808	0.751	UniRef:UniRef50_Q9I763
contig_1	cds	87568	88482	-	OIFKLK_00078	241.0	6.3e-76	1.010	0.843	0.515	UniRef:UniRef50_Q9I762
contig_1	cds	88544	90256	-	OIFKLK_00079	855.0	0.0	0.953	0.867	0.788	UniRef:UniRef50_A4XUQ2
contig_1	cds	90249	91448	-	OIFKLK_00080	408.0	2.5e-139	1.005	0.998	0.596	UniRef:UniRef50_A0A1V9UWJ6
contig_1	cds	91448	92167	-	OIFKLK_00081	283.0	2.6e-95	0.992	0.992	0.658	UniRef:UniRef50_A0A5E6T0W7
contig_1	cds	92164	95262	-	OIFKLK_00082	1746.0	0.0	1.107	1.0	0.834	UniRef:UniRef50_Q9I758
contig_1	cds	95270	95998	-	OIFKLK_00083	468.0	7.9e-168	1.0	0.924	1.0	UniRef:UniRef50_A0A5E6T5M7
contig_1	cds	96008	96688	-	OIFKLK_00084	458.0	1.5e-164	1.0	0.915	0.996	UniRef:UniRef50_Q9I756
contig_1	cds	96685	100215	-	OIFKLK_00085	1517.0	0.0	0.968	0.883	0.696	UniRef:UniRef50_Q9I755
contig_1	cds	100212	101561	-	OIFKLK_00086	429.0	4.9e-146	1.053	1.006	0.520	UniRef:UniRef50_N6YNX6
contig_1	cds	101568	102902	-	OIFKLK_00087	436.0	3.4e-149	1.0	0.996	0.514	UniRef:UniRef50_A0A545TGR4
contig_1	cds	102918	103382	-	OIFKLK_00088	271.0	6.4e-93	0.896	0.868	0.993	UniRef:UniRef50_Q9I752
contig_1	cds	103427	104908	-	OIFKLK_00089	521.0	1.4e-179	1.187	1.003	0.528	UniRef:UniRef50_A0A3M3E5V2
contig_1	cds	105276	106310	+	OIFKLK_00090	360.0	6.7e-122	1.023	0.954	0.577	UniRef:UniRef50_A0A446B2W5
contig_1	cds	106399	106917	+	OIFKLK_00091	164.0	4.4e-50	0.930	0.856	0.500	UniRef:UniRef50_A0A8B5WDH3
contig_1	cds	106930	108426	+	OIFKLK_00092	744.0	2.9e-268	1.048	0.960	0.707	UniRef:UniRef50_Q9I748
contig_1	cds	108502	108990	+	OIFKLK_00093	229.0	6.4e-76	0.994	0.861	0.683	UniRef:UniRef50_A0A3M3E5I0
contig_1	cds	109218	110003	+	OIFKLK_00094	285.0	2.3e-94	1.015	0.852	0.528	UniRef:UniRef50_A0A7I8CKK6
contig_1	cds	110005	110514	+	OIFKLK_00095	219.0	1.1e-71	0.994	0.898	0.649	UniRef:UniRef50_Q9I745
contig_1	cds	110511	112370	+	OIFKLK_00096	684.0	7.1e-241	1.057	1.0	0.554	UniRef:UniRef50_Q9I744
contig_1	cds	112334	113380	+	OIFKLK_00097	484.0	7.0e-171	0.937	0.908	0.693	UniRef:UniRef50_Q9I743
contig_1	cds	113373	116081	+	OIFKLK_00098	1173.0	0.0	1.088	0.999	0.640	UniRef:UniRef50_A0A158BUS1
contig_1	cds	116119	118059	+	OIFKLK_00099	-	-	-	-	-	-
contig_1	cds	118174	118458	-	OIFKLK_00100	183.0	3.5e-60	1.0	0.922	0.989	UniRef:UniRef50_Q9I740
contig_1	cds	118547	119746	-	OIFKLK_00101	-	-	-	-	-	-
contig_1	cds	119762	120196	-	OIFKLK_00102	224.0	9.5e-75	0.979	0.865	0.766	UniRef:UniRef50_Q9I738
contig_1	cds	120450	122675	+	OIFKLK_00103	-	-	-	-	-	-
contig_1	cds	122703	123152	+	OIFKLK_00104	163.0	3.1e-50	0.940	0.824	0.636	UniRef:UniRef50_Q9I736
contig_1	cds	123169	124281	+	OIFKLK_00105	729.0	7.3e-267	1.0	0.927	0.965	UniRef:UniRef50_A0A0H2ZKA6
contig_1	cds	124278	125315	+	OIFKLK_00106	348.0	4.2e-117	0.977	0.923	0.567	UniRef:UniRef50_A0A554PBT4
contig_1	cds	125315	126475	+	OIFKLK_00107	371.0	9.8e-125	0.987	0.905	0.533	UniRef:UniRef50_Q9I733
contig_1	cds	126497	127417	+	OIFKLK_00108	467.0	1.1e-165	1.0	0.990	0.703	UniRef:UniRef50_Q9I732
contig_1	cds	127399	128646	+	OIFKLK_00109	515.0	9.0e-181	0.981	0.938	0.639	UniRef:UniRef50_A0A679GDI8
contig_1	cds	129022	129750	+	OIFKLK_00110	386.0	8.0e-136	0.942	0.938	0.825	UniRef:UniRef50_A0A7V2HHQ8
contig_1	cds	129961	131532	+	OIFKLK_00111	530.0	4.3e-183	0.966	0.905	0.608	UniRef:UniRef50_I8I592
contig_1	cds	131519	132157	-	OIFKLK_00112	261.0	7.0e-87	0.972	0.884	0.612	UniRef:UniRef50_A0A3M4W0L5
contig_1	cds	132553	133653	+	OIFKLK_00113	458.0	1.0e-159	0.984	0.893	0.603	UniRef:UniRef50_C1DA52
contig_1	cds	133663	135255	+	OIFKLK_00114	813.0	4.0e-294	0.955	0.863	0.783	UniRef:UniRef50_A0A964HHG6
contig_1	cds	135266	135820	+	OIFKLK_00115	272.0	6.2e-92	0.984	0.819	0.740	UniRef:UniRef50_S6B9L1
contig_1	cds	135831	136718	+	OIFKLK_00116	329.0	1.1e-111	0.973	0.986	0.537	UniRef:UniRef50_Q3J6R1
contig_1	cds	136734	136943	-	OIFKLK_00117	101.0	2.1e-28	0.957	0.805	0.803	UniRef:UniRef50_Q9I723
contig_1	cds	136959	137753	+	OIFKLK_00118	317.0	5.7e-108	0.992	1.012	0.618	UniRef:UniRef50_A0A2M8UU76
contig_1	cds	137728	138306	+	OIFKLK_00119	202.0	1.3e-64	1.021	0.938	0.531	UniRef:UniRef50_A0AAD1F0M0
contig_1	cds	138371	139444	+	OIFKLK_00120	-	-	-	-	-	-
contig_1	cds	139470	140384	+	OIFKLK_00121	476.0	9.2e-169	0.990	0.918	0.827	UniRef:UniRef50_Q9I719
contig_1	cds	140410	141045	+	OIFKLK_00122	246.0	2.5e-81	0.986	0.950	0.572	UniRef:UniRef50_A0A654D7Y4
contig_1	cds	141085	141537	-	OIFKLK_00123	202.0	1.2e-65	0.993	0.805	0.644	UniRef:UniRef50_Q9I717
contig_1	cds	141669	142142	+	OIFKLK_00124	196.0	3.6e-63	0.981	0.856	0.591	UniRef:UniRef50_A0A095SJK3
contig_1	cds	142399	143127	+	OIFKLK_00125	250.0	1.2e-81	0.971	0.877	0.562	UniRef:UniRef50_A0A6V6ZHG2
contig_1	cds	143152	143739	+	OIFKLK_00126	216.0	1.4e-69	1.0	0.890	0.538	UniRef:UniRef50_A0A2S6RVT3
contig_1	cds	143984	145318	+	OIFKLK_00127	472.0	2.0e-162	0.946	0.852	0.612	UniRef:UniRef50_Q9I713
contig_1	cds	145367	146053	+	OIFKLK_00128	232.0	7.2e-75	1.0	0.844	0.535	UniRef:UniRef50_A0A3M3EG75
contig_1	cds	146154	146888	+	OIFKLK_00129	236.0	2.8e-76	0.881	0.830	0.619	UniRef:UniRef50_Q9I711
contig_1	cds	147068	147478	+	OIFKLK_00130	274.0	8.1e-95	1.0	0.938	1.0	UniRef:UniRef50_Q9I710
contig_1	cds	147510	148418	-	OIFKLK_00131	548.0	5.4e-197	1.209	1.0	0.816	UniRef:UniRef50_A0A2T5MIC6
contig_1	cds	148718	148999	-	OIFKLK_00132	185.0	4.9e-61	1.0	0.959	0.989	UniRef:UniRef50_Q9I708
contig_1	cds	148996	149223	-	OIFKLK_00133	147.0	2.5e-46	1.0	0.949	1.0	UniRef:UniRef50_Q9I707
contig_1	cds	149399	150019	-	OIFKLK_00134	409.0	1.0e-145	0.995	0.911	0.995	UniRef:UniRef50_Q9I706
contig_1	cds	150120	150620	+	OIFKLK_00135	301.0	1.2e-104	1.054	1.0	0.891	UniRef:UniRef50_Q9I705
contig_1	cds	150693	151034	+	OIFKLK_00136	202.0	1.3e-66	1.0	0.801	0.867	UniRef:UniRef50_Q88Q12
contig_1	cds	151116	152543	-	OIFKLK_00137	605.0	9.6e-214	0.964	0.869	0.710	UniRef:UniRef50_A0AA37RPK3
contig_1	cds	152712	154205	-	OIFKLK_00138	655.0	9.1e-233	0.992	0.880	0.663	UniRef:UniRef50_Q9I702
contig_1	cds	154289	154576	-	OIFKLK_00139	128.0	3.0e-38	0.947	0.811	0.689	UniRef:UniRef50_L0KC75
contig_1	cds	154576	155922	-	OIFKLK_00140	607.0	7.4e-216	0.964	0.885	0.671	UniRef:UniRef50_Q7NY39
contig_1	cds	156057	156974	+	OIFKLK_00141	330.0	9.3e-111	0.977	0.814	0.567	UniRef:UniRef50_A0A3M3EL99
contig_1	cds	157087	158385	-	OIFKLK_00142	501.0	6.6e-174	0.993	0.843	0.571	UniRef:UniRef50_A0A7Z2T6C4
contig_1	cds	158624	159508	+	OIFKLK_00143	-	-	-	-	-	-
contig_1	cds	159568	161139	+	OIFKLK_00144	739.0	5.1e-266	0.971	0.951	0.756	UniRef:UniRef50_A0A3M3X9F2
contig_1	cds	161139	162236	+	OIFKLK_00145	538.0	4.0e-191	1.005	0.922	0.763	UniRef:UniRef50_A0A1Q9R8X7
contig_1	cds	162258	163184	+	OIFKLK_00146	379.0	3.0e-130	0.997	0.914	0.681	UniRef:UniRef50_A0A3B0M519
contig_1	cds	163349	163912	+	OIFKLK_00147	323.0	2.4e-112	1.160	1.0	0.742	UniRef:UniRef50_Q02UU0
contig_1	cds	164057	165622	+	OIFKLK_00148	753.0	1.3e-270	1.121	0.985	0.682	UniRef:UniRef50_P26829
contig_1	cds	165702	166775	-	OIFKLK_00149	-	-	-	-	-	-
contig_1	cds	167056	168405	+	OIFKLK_00150	603.0	1.4e-213	1.045	0.892	0.659	UniRef:UniRef50_Q9I6Z0
contig_1	cds	168513	169565	+	OIFKLK_00151	441.0	3.9e-155	0.831	1.062	0.763	UniRef:UniRef50_A0A3M5GTN2
contig_1	cds	169593	170219	-	OIFKLK_00152	385.0	1.8e-136	0.995	0.986	0.942	UniRef:UniRef50_Q9I6Y8
contig_1	cds	170341	170856	-	OIFKLK_00153	166.0	1.1e-50	0.942	0.861	0.540	UniRef:UniRef50_A0A0S4TT12
contig_1	cds	171095	172192	+	OIFKLK_00154	397.0	7.1e-136	1.0	0.922	0.515	UniRef:UniRef50_W8XA23
contig_1	cds	172265	173227	+	OIFKLK_00155	549.0	2.1e-198	0.822	0.985	0.992	UniRef:UniRef50_A0A0P9QX70
contig_1	cds	173332	174282	+	OIFKLK_00156	384.0	1.2e-131	0.987	0.804	0.612	UniRef:UniRef50_Q88QA3
contig_1	cds	174437	175024	+	OIFKLK_00157	195.0	9.5e-62	0.841	0.800	0.659	UniRef:UniRef50_A0A4R7X058
contig_1	cds	175021	176016	+	OIFKLK_00158	631.0	1.1e-229	1.021	1.0	0.973	UniRef:UniRef50_A0A0H2ZK74
contig_1	cds	176164	178551	+	OIFKLK_00159	1085.0	0.0	1.005	0.896	0.698	UniRef:UniRef50_Q9I6Y1
contig_1	cds	178838	179755	+	OIFKLK_00160	562.0	7.5e-203	1.0	0.902	0.964	UniRef:UniRef50_A0A0C5E852
contig_1	cds	179890	180609	+	OIFKLK_00161	368.0	6.6e-128	1.013	0.846	0.715	UniRef:UniRef50_P00437
contig_1	cds	180620	181225	+	OIFKLK_00162	276.0	6.4e-93	1.100	0.929	0.652	UniRef:UniRef50_P00436
contig_1	cds	181432	182271	+	OIFKLK_00163	432.0	5.6e-152	0.993	0.817	0.794	UniRef:UniRef50_Q52154
contig_1	cds	182472	183575	+	OIFKLK_00164	330.0	1.5e-109	0.959	0.898	0.534	UniRef:UniRef50_N2JFP6
contig_1	cds	183572	184642	+	OIFKLK_00165	326.0	9.6e-108	0.980	0.839	0.516	UniRef:UniRef50_A0A0C5DV56
contig_1	cds	184639	187686	+	OIFKLK_00166	1546.0	0.0	1.0	0.981	0.782	UniRef:UniRef50_A0A532DRG4
contig_1	ncRNA	187687	187810	-	OIFKLK_00167	107.0	1.1e-13	-	-	-	RFAM:RF02889
contig_1	cds	187885	188823	+	OIFKLK_00168	583.0	1.6e-210	1.0	0.879	0.946	UniRef:UniRef50_N2J9W8
contig_1	cds	188939	189124	+	OIFKLK_00169	-	-	-	-	-	-
contig_1	cds	189711	191045	+	OIFKLK_00170	603.0	1.9e-214	0.995	0.951	0.645	UniRef:UniRef50_Q88PP9
contig_1	cds	191074	191871	-	OIFKLK_00171	383.0	6.5e-133	1.008	0.840	0.738	UniRef:UniRef50_A0A5E7U8J0
contig_1	cds	191949	193565	+	OIFKLK_00172	910.0	0.0	0.818	1.0	0.995	UniRef:UniRef50_A0A6N3CW12
contig_1	cds	194237	195073	+	OIFKLK_00173	346.0	4.6e-119	1.025	1.080	0.600	UniRef:UniRef50_A0A0J6I084
contig_1	cds	195315	196721	+	OIFKLK_00174	681.0	5.0e-244	0.957	0.858	0.777	UniRef:UniRef50_A0A2X5NW18
contig_1	cds	196814	197479	+	OIFKLK_00175	356.0	4.4e-124	0.995	0.853	0.805	UniRef:UniRef50_A0A0C5DYK4
contig_1	cds	197485	198075	+	OIFKLK_00176	221.0	5.1e-72	0.985	0.932	0.617	UniRef:UniRef50_Q4KIR2
contig_1	cds	198082	198909	-	OIFKLK_00177	456.0	6.4e-162	0.985	0.931	0.982	UniRef:UniRef50_A0A069QEY1
contig_1	cds	198916	199296	-	OIFKLK_00178	154.0	2.0e-47	0.992	0.919	0.624	UniRef:UniRef50_Q02UQ8
contig_1	cds	199323	199865	-	OIFKLK_00179	217.0	7.4e-71	0.978	0.926	0.602	UniRef:UniRef50_A0A172YCZ2
contig_1	cds	199874	201865	-	OIFKLK_00180	743.0	1.8e-262	1.0	0.944	0.575	UniRef:UniRef50_S2KKW7
contig_1	cds	202128	203177	-	OIFKLK_00181	629.0	1.3e-227	0.980	0.900	0.985	UniRef:UniRef50_Q9I6V9
contig_1	cds	203197	203799	-	OIFKLK_00182	219.0	1.8e-70	0.975	0.819	0.528	UniRef:UniRef50_Q3SIF9
contig_1	cds	203805	204647	-	OIFKLK_00183	319.0	7.5e-108	0.954	0.887	0.592	UniRef:UniRef50_Q8EF63
contig_1	cds	204717	206756	-	OIFKLK_00184	641.0	1.0e-220	1.118	0.950	0.593	UniRef:UniRef50_Q9I6V6
contig_1	cds	206792	207277	-	OIFKLK_00185	209.0	7.2e-68	0.994	0.808	0.688	UniRef:UniRef50_B1G4F2
contig_1	cds	207264	209183	-	OIFKLK_00186	1105.0	0.0	1.0	0.830	0.981	UniRef:UniRef50_A0A149VWZ5
contig_1	cds	209211	209576	-	OIFKLK_00187	168.0	4.1e-53	0.992	0.870	0.683	UniRef:UniRef50_A0A2S2E541
contig_1	cds	209774	210946	-	OIFKLK_00188	447.0	7.7e-155	0.959	0.914	0.671	UniRef:UniRef50_Q9I6V2
contig_1	cds	211139	212071	-	OIFKLK_00189	407.0	7.1e-142	0.987	0.990	0.673	UniRef:UniRef50_A0A0X6ZW92
contig_1	cds	212188	212940	+	OIFKLK_00190	268.0	8.4e-89	0.972	0.910	0.617	UniRef:UniRef50_L0M054
contig_1	cds	213040	214650	-	OIFKLK_00191	576.0	1.3e-200	1.037	0.946	0.505	UniRef:UniRef50_P51691
contig_1	cds	214738	215577	-	OIFKLK_00192	328.0	2.5e-111	0.892	0.822	0.679	UniRef:UniRef50_B9K4V1
contig_1	cds	215574	217190	-	OIFKLK_00193	543.0	3.0e-188	0.976	0.970	0.585	UniRef:UniRef50_A0AA35N337
contig_1	cds	217457	218518	+	OIFKLK_00194	642.0	3.5e-233	0.977	0.956	0.991	UniRef:UniRef50_A0A3M5DDI1
contig_1	cds	218936	219751	+	OIFKLK_00195	522.0	3.3e-188	1.0	0.903	0.993	UniRef:UniRef50_Q9I6U7
contig_1	cds	219748	220629	+	OIFKLK_00196	548.0	4.6e-198	1.0	0.983	0.997	UniRef:UniRef50_Q9I6U6
contig_1	cds	220667	222025	-	OIFKLK_00197	851.0	0.0	0.989	0.937	0.996	UniRef:UniRef50_A0A5E5R433
contig_1	cds	222273	222998	+	OIFKLK_00198	439.0	3.1e-156	0.942	0.802	1.0	UniRef:UniRef50_A0A1Q8ELG7
contig_1	cds	223022	223939	-	OIFKLK_00199	420.0	1.5e-146	0.980	0.887	0.702	UniRef:UniRef50_A0A0C5E134
contig_1	cds	224289	226661	+	OIFKLK_00200	915.0	0.0	0.938	0.859	0.625	UniRef:UniRef50_A0A0C5DV40
contig_1	cds	226702	227604	+	OIFKLK_00201	377.0	5.5e-130	0.983	0.916	0.644	UniRef:UniRef50_A0A512AN54
contig_1	cds	227672	228571	+	OIFKLK_00202	336.0	7.8e-114	0.950	0.896	0.609	UniRef:UniRef50_A0A6J4EEP2
contig_1	cds	229218	230336	+	OIFKLK_00203	506.0	2.5e-177	1.247	0.991	0.634	UniRef:UniRef50_A0A3P4B7E4
contig_1	cds	230412	230720	+	OIFKLK_00204	89.0	1.5e-22	0.961	0.951	0.541	UniRef:UniRef50_A0A2D6ZTC9
contig_1	cds	230720	232156	+	OIFKLK_00205	714.0	4.0e-256	0.998	0.818	0.803	UniRef:UniRef50_A0A5E7ZLD3
contig_1	cds	232499	233311	+	OIFKLK_00206	196.0	1.1e-59	1.122	1.017	0.564	UniRef:UniRef50_Q9RMT3
contig_1	cds	233340	234059	+	OIFKLK_00207	335.0	4.1e-115	1.013	0.874	0.773	UniRef:UniRef50_A0A0C5DQD9
